"","Country","Year","Fertility"
"1","Australia",1990,1.9
"2","Australia",1991,1.8
"3","Australia",1992,1.9
"4","Australia",1993,1.9
"5","Australia",1994,1.8
"6","Australia",1995,1.8
"7","Australia",1996,1.8
"8","Australia",1997,1.8
"9","Australia",1998,1.8
"10","Australia",1999,1.8
"11","Australia",2000,1.8
"12","Australia",2001,1.7
"13","Australia",2002,1.8
"14","Australia",2003,1.8
"15","Australia",2004,1.8
"16","Australia",2005,1.8
"17","Australia",2006,1.9
"18","Australia",2007,2
"19","Australia",2008,2
"20","Australia",2009,2
"21","Australia",2010,2
"22","Australia",2011,1.9
"23","Australia",2012,1.9
"24","Australia",2013,1.9
"25","Australia",2014,1.8
"26","Australia",2015,1.8
"27","Australia",2016,1.8
"28","Austria",1990,1.5
"29","Austria",1991,1.5
"30","Austria",1992,1.5
"31","Austria",1993,1.5
"32","Austria",1994,1.5
"33","Austria",1995,1.4
"34","Austria",1996,1.4
"35","Austria",1997,1.4
"36","Austria",1998,1.4
"37","Austria",1999,1.3
"38","Austria",2000,1.4
"39","Austria",2001,1.3
"40","Austria",2002,1.4
"41","Austria",2003,1.4
"42","Austria",2004,1.4
"43","Austria",2005,1.4
"44","Austria",2006,1.4
"45","Austria",2007,1.4
"46","Austria",2008,1.4
"47","Austria",2009,1.4
"48","Austria",2010,1.4
"49","Austria",2011,1.4
"50","Austria",2012,1.4
"51","Austria",2013,1.4
"52","Austria",2014,1.5
"53","Austria",2015,1.5
"54","Austria",2016,1.5
"55","Belgium",1990,1.6
"56","Belgium",1991,1.7
"57","Belgium",1992,1.6
"58","Belgium",1993,1.6
"59","Belgium",1994,1.5
"60","Belgium",1995,1.5
"61","Belgium",1996,1.6
"62","Belgium",1997,1.6
"63","Belgium",1998,1.6
"64","Belgium",1999,1.6
"65","Belgium",2000,1.6
"66","Belgium",2001,1.6
"67","Belgium",2002,1.6
"68","Belgium",2003,1.6
"69","Belgium",2004,1.7
"70","Belgium",2005,1.7
"71","Belgium",2006,1.8
"72","Belgium",2007,1.8
"73","Belgium",2008,1.9
"74","Belgium",2009,1.8
"75","Belgium",2010,1.8
"76","Belgium",2011,1.8
"77","Belgium",2012,1.8
"78","Belgium",2013,1.7
"79","Belgium",2014,1.7
"80","Belgium",2015,1.7
"81","Belgium",2016,1.7
"82","Brazil",1990,2.9
"83","Brazil",1991,2.8
"84","Brazil",1992,2.8
"85","Brazil",1993,2.7
"86","Brazil",1994,2.6
"87","Brazil",1995,2.6
"88","Brazil",1996,2.5
"89","Brazil",1997,2.5
"90","Brazil",1998,2.4
"91","Brazil",1999,2.4
"92","Brazil",2000,2.3
"93","Brazil",2001,2.2
"94","Brazil",2002,2.2
"95","Brazil",2003,2.1
"96","Brazil",2004,2
"97","Brazil",2005,2
"98","Brazil",2006,1.9
"99","Brazil",2007,1.9
"100","Brazil",2008,1.9
"101","Brazil",2009,1.8
"102","Brazil",2010,1.8
"103","Brazil",2011,1.8
"104","Brazil",2012,1.8
"105","Brazil",2013,1.8
"106","Brazil",2014,1.8
"107","Brazil",2015,1.7
"108","Brazil",2016,1.7
"109","Bulgaria",1990,1.8
"110","Bulgaria",1991,1.7
"111","Bulgaria",1992,1.6
"112","Bulgaria",1993,1.5
"113","Bulgaria",1994,1.4
"114","Bulgaria",1995,1.2
"115","Bulgaria",1996,1.2
"116","Bulgaria",1997,1.1
"117","Bulgaria",1998,1.1
"118","Bulgaria",1999,1.2
"119","Bulgaria",2000,1.3
"120","Bulgaria",2001,1.2
"121","Bulgaria",2002,1.2
"122","Bulgaria",2003,1.2
"123","Bulgaria",2004,1.3
"124","Bulgaria",2005,1.3
"125","Bulgaria",2006,1.4
"126","Bulgaria",2007,1.5
