"","Country","Year","AgeAtBirth"
"1","Australia",1990,28.4
"2","Australia",1991,28.4
"3","Australia",1992,28.6
"4","Australia",1993,28.7
"5","Australia",1994,28.8
"6","Australia",1995,28.9
"7","Australia",1996,29
"8","Australia",1997,29.1
"9","Australia",1998,29.3
"10","Australia",1999,29.4
"11","Australia",2000,29.5
"12","Australia",2001,29.5
"13","Australia",2002,29.7
"14","Australia",2003,29.9
"15","Australia",2004,30
"16","Australia",2005,30.1
"17","Australia",2006,30.2
"18","Australia",2007,30.2
"19","Australia",2008,30.3
"20","Australia",2009,30.3
"21","Australia",2010,30.5
"22","Australia",2011,30.5
"23","Australia",2012,30.5
"24","Australia",2013,30.6
"25","Austria",1990,27.2
"26","Austria",1991,27.2
"27","Austria",1992,27.3
"28","Austria",1993,27.3
"29","Austria",1994,27.5
"30","Austria",1995,27.7
"31","Austria",1996,27.8
"32","Austria",1997,27.9
"33","Austria",1998,28
"34","Austria",1999,28.2
"35","Austria",2000,28.2
"36","Austria",2001,28.4
"37","Austria",2002,28.6
"38","Austria",2003,28.8
"39","Austria",2004,28.8
"40","Austria",2005,29
"41","Austria",2006,29.2
"42","Austria",2007,29.4
"43","Austria",2008,29.5
"44","Austria",2009,29.7
"45","Austria",2010,29.8
"46","Austria",2011,30
"47","Austria",2012,30.2
"48","Austria",2013,30.3
"49","Austria",2014,30.4
"50","Belgium",1990,27.9
"51","Belgium",1991,28
"52","Belgium",1992,28.1
"53","Belgium",1993,28.2
"54","Belgium",1994,28.3
"55","Belgium",1995,28.5
"56","Belgium",1996,28.5
"57","Belgium",1997,28.6
"58","Belgium",1998,28.7
"59","Belgium",1999,28.8
"60","Belgium",2000,28.8
"61","Belgium",2001,28.9
"62","Belgium",2002,29
"63","Belgium",2003,29.1
"64","Belgium",2004,29.2
"65","Belgium",2005,29.3
"66","Belgium",2006,29.4
"67","Belgium",2007,29.5
"68","Belgium",2008,29.6
"69","Belgium",2009,29.6
"70","Belgium",2010,29.8
"71","Belgium",2011,29.9
"72","Belgium",2012,30
"73","Belgium",2013,30.2
"74","Belgium",2014,30.3
"75","Bulgaria",1990,23.9
"76","Bulgaria",1991,23.7
"77","Bulgaria",1992,23.7
"78","Bulgaria",1993,23.8
"79","Bulgaria",1994,24
"80","Bulgaria",1995,24.1
"81","Bulgaria",1996,24.3
"82","Bulgaria",1997,24.4
"83","Bulgaria",1998,24.5
"84","Bulgaria",1999,24.7
"85","Bulgaria",2000,25
"86","Bulgaria",2001,25.1
"87","Bulgaria",2002,25.3
"88","Bulgaria",2003,25.5
"89","Bulgaria",2004,25.6
"90","Bulgaria",2005,25.9
"91","Bulgaria",2006,26.1
"92","Bulgaria",2007,26.4
"93","Bulgaria",2008,26.5
"94","Bulgaria",2009,26.7
"95","Bulgaria",2010,27
"96","Bulgaria",2011,27.1
"97","Bulgaria",2012,27.1
"98","Bulgaria",2013,27.1
"99","Bulgaria",2014,27.3
"100","Canada",1990,27.8
"101","Canada",1991,27.7997569710923
"102","Canada",1992,27.9
"103","Canada",1993,28
"104","Canada",1994,28.1
"105","Canada",1995,28.2
"106","Canada",1996,28.4
"107","Canada",1997,28.5
"108","Canada",1998,28.638539268355
"109","Canada",1999,28.7
"110","Canada",2000,28.8
"111","Canada",2001,29
"112","Canada",2002,29.2
"113","Canada",2003,29.3
