"","Country","Year","TwoParents","SingleParent","OtherParent"
"1","Australia",2003,80.1,19.5,0.5
"2","Australia",2004,80.7466666666666,18.8466666666666,0.476666666666667
"3","Australia",2005,80.8833333333333,18.6833333333333,0.483333333333333
"4","Australia",2006,81.5,18,0.5
"5","Australia",2007,81.1566666666667,18.3566666666666,0.496666666666666
"6","Australia",2008,81.2933333333333,18.1933333333333,0.503333333333332
"7","Australia",2009,82,17.6,0.4
"8","Australia",2010,81.5666666666666,17.8666666666666,0.516666666666666
"9","Australia",2011,81.7033333333333,17.7033333333333,0.523333333333333
"10","Australia",2012,81.3,18,0.6
"11","Austria",2003,81.2,16.8,2
"12","Austria",2004,81.4,16.5,2
"13","Austria",2005,83.6,15.5,1
"14","Austria",2006,82,17.3,0.6
"15","Austria",2007,80.6,17.5,1.9
"16","Austria",2008,81.5,16.6,2
"17","Austria",2009,82.3,17,0.6
"18","Austria",2010,82.3,17.1,0.5
"19","Austria",2011,82.7,17,0.3
"20","Austria",2012,83.5,16.3,0.3
"21","Austria",2013,80.8,18.9,0.3
"22","Austria",2014,79.3,20.7,0.1
"23","Austria",2015,81.3,18.3,0.4
"24","Austria",2016,82.9,16.3,0.8
"25","Belgium",2003,69.6,21.8,8.7
"26","Belgium",2004,73.5,22.9,3.5
"27","Belgium",2005,74.5,22.9,2.5
"28","Belgium",2006,72.8,25,2.1
"29","Belgium",2007,75.1,22.5,2.5
"30","Belgium",2008,76.8,20.9,2.4
"31","Belgium",2009,75.4,21.9,2.6
"32","Belgium",2010,71.3,22.1,6.7
"33","Belgium",2011,68.7,26.2,5.1
"34","Belgium",2012,75.1,23.5,1.4
"35","Belgium",2013,76.2,22.8,1
"36","Belgium",2014,74.5,23.6,1.9
"37","Belgium",2015,73.8,25,1.2
"38","Belgium",2016,76.1,22.9,1
"39","Bulgaria",2005,81.9,14.8,3.4
"40","Bulgaria",2006,81.9,14.8,3.4
"41","Bulgaria",2007,81.7,15.5,2.9
"42","Bulgaria",2008,81.2,16.6,2.3
"43","Bulgaria",2009,83,14.5,2.5
"44","Bulgaria",2010,80.9,16.1,3
"45","Bulgaria",2011,80.2,16.9,2.9
"46","Bulgaria",2012,80.3,15.6,4.2
"47","Bulgaria",2013,80.2,16.7,3
"48","Bulgaria",2014,80.7,16.6,2.8
"49","Bulgaria",2015,81.4,16.5,2.1
"50","Bulgaria",2016,81.9,16.1,1.9
"51","Canada",2001,80.4,18.4,1.2
"52","Canada",2002,79.906,18.82,1.19
"53","Canada",2003,79.832,18.89,1.23
"54","Canada",2004,79.758,18.96,1.27
"55","Canada",2005,79.684,19.03,1.31
"56","Canada",2006,79.4,19.2,1.4
"57","Canada",2007,79.536,19.17,1.39
"58","Canada",2008,79.462,19.24,1.43000000000001
"59","Canada",2009,79.388,19.31,1.47
"60","Canada",2010,79.314,19.38,1.51000000000001
"61","Canada",2011,78.4,20.3,1.3
"62","Canada",2012,79.166,19.52,1.59
"63","Canada",2013,79.092,19.59,1.63
"64","Canada",2014,79.018,19.66,1.67
"65","Canada",2015,78.944,19.73,1.70999999999999
"66","Canada",2016,79.5,19.2,1.9
"67","Chile",2002,69,22,9
"68","Croatia",2010,90.3,9,0.7
"69","Croatia",2011,91,8.2,0.8
"70","Croatia",2012,90.5,9,0.6
"71","Croatia",2013,90.4,9.3,0.3
"72","Croatia",2014,89.9,9.9,0.2
"73","Croatia",2015,89.5,9.8,0.7
"74","Croatia",2016,91.6,8.1,0.4
"75","Cyprus",2005,90.4,8.9,0.7
"76","Cyprus",2006,91.7,7.9,0.4
"77","Cyprus",2007,90.3,9,0.7
"78","Cyprus",2008,85.2,13.9,0.9
"79","Cyprus",2009,86.8,12.6,0.7
"80","Cyprus",2010,86.7,12.8,0.5
"81","Cyprus",2011,89.2,9.9,0.9
"82","Cyprus",2012,89.3,10.1,0.6
"83","Cyprus",2013,89.6,10.1,0.2
"84","Cyprus",2014,87.9,11.6,0.4
"85","Cyprus",2015,85,14,0.9
"86","Cyprus",2016,86.9,12.5,0.6
"87","Czech Republic",2005,84,14.5,1.5
"88","Czech Republic",2006,84.7,14.4,1
"89","Czech Republic",2007,83.9,15.6,0.5
"90","Czech Republic",2008,84.4,14.9,0.7
"91","Czech Republic",2009,85.8,13.7,0.5
"92","Czech Republic",2010,85.3,14.4,0.3
"93","Czech Republic",2011,85.9,13.9,0.3
"94","Czech Republic",2012,85.1,14.4,0.4
"95","Czech Republic",2013,85.7,14,0.3
"96","Czech Republic",2014,84.2,14.8,1.1
"97","Czech Republic",2015,84.9,14.6,0.6
