"","Country","Year","Fertility","AgeAtBirth","OutOfWedlock","Marriage","Divorce","TwoParents","SingleParent","OtherParent"
"1","Australia","1990","1.9","28.4","21.9","6.9","2.5",NA,NA,NA
"2","Australia","1991","1.8","28.4","23.0","6.6","2.6",NA,NA,NA
"3","Australia","1992","1.9","28.6","24.0","6.6","2.6",NA,NA,NA
"4","Australia","1993","1.9","28.7","24.9","6.4","2.7",NA,NA,NA
"5","Australia","1994","1.8","28.8","25.6","6.2","2.7",NA,NA,NA
"6","Australia","1995","1.8","28.9","26.6","6.1","2.8",NA,NA,NA
"7","Australia","1996","1.8","29.0","27.4","5.8","2.9",NA,NA,NA
"8","Australia","1997","1.8","29.1","28.1","5.8","2.8",NA,NA,NA
"9","Australia","1998","1.8","29.3","28.7","5.9","2.7",NA,NA,NA
"10","Australia","1999","1.8","29.4","29.2","6.0","2.8",NA,NA,NA
"11","Australia","2000","1.8","29.5","29.3","5.9","2.6",NA,NA,NA
"12","Australia","2001","1.7","29.5","30.7","5.3","2.8",NA,NA,NA
"13","Australia","2002","1.8","29.7","31.3","5.4","2.7",NA,NA,NA
"14","Australia","2003","1.8","29.9","31.6","5.3","2.7","80.1","19.5","0.5"
"15","Australia","2004","1.8","30.0","32.2","5.5","2.6",NA,NA,NA
"16","Australia","2005","1.8","30.1","32.2","5.4","2.6",NA,NA,NA
"17","Australia","2006","1.9","30.2","32.7","5.5","2.5","81.5","18.0","0.5"
"18","Australia","2007","2.0","30.2","33.3","5.5","2.3",NA,NA,NA
"19","Australia","2008","2.0","30.3","34.3","5.5","2.2",NA,NA,NA
"20","Australia","2009","2.0","30.3","34.5","5.5","2.3","82.0","17.6","0.4"
"21","Australia","2010","2.0","30.5","33.8","5.4","2.3",NA,NA,NA
"22","Australia","2011","1.9","30.5","34.2","5.4","2.2",NA,NA,NA
"23","Australia","2012","1.9","30.5","34.5","5.4","2.2","81.3","18.0","0.6"
"24","Australia","2013","1.9","30.6","34.4","5.1","2.1",NA,NA,NA
"25","Australia","2014","1.8",NA,"34.4","5.2","2.0",NA,NA,NA
"26","Australia","2015","1.8",NA,NA,"4.8","2.0",NA,NA,NA
"27","Australia","2016","1.8",NA,NA,"4.9","1.9",NA,NA,NA
"28","Austria","1990","1.5","27.2","23.6","5.9","2.1",NA,NA,NA
"29","Austria","1991","1.5","27.2","24.8","5.7","2.1",NA,NA,NA
"30","Austria","1992","1.5","27.3","25.2","5.8","2.1",NA,NA,NA
"31","Austria","1993","1.5","27.3","26.3","5.7","2.1",NA,NA,NA
"32","Austria","1994","1.5","27.5","26.8","5.5","2.1",NA,NA,NA
"33","Austria","1995","1.4","27.7","27.4","5.4","2.3",NA,NA,NA
"34","Austria","1996","1.4","27.8","28.0","5.3","2.3",NA,NA,NA
"35","Austria","1997","1.4","27.9","28.8","5.2","2.3",NA,NA,NA
"36","Austria","1998","1.4","28.0","29.5","4.9","2.2",NA,NA,NA
"37","Austria","1999","1.3","28.2","30.5","4.9","2.3",NA,NA,NA
"38","Austria","2000","1.4","28.2","31.3","4.9","2.4",NA,NA,NA
"39","Austria","2001","1.3","28.4","33.1","4.3","2.6",NA,NA,NA
"40","Austria","2002","1.4","28.6","33.8","4.5","2.5",NA,NA,NA
"41","Austria","2003","1.4","28.8","35.3","4.6","2.3","81.2","16.8","2.0"
"42","Austria","2004","1.4","28.8","35.9","4.7","2.4","81.4","16.5","2.0"
"43","Austria","2005","1.4","29.0","36.5","4.8","2.4","83.6","15.5","1.0"
"44","Austria","2006","1.4","29.2","37.2","4.5","2.5","82.0","17.3","0.6"
"45","Austria","2007","1.4","29.4","38.3","4.3","2.5","80.6","17.5","1.9"
"46","Austria","2008","1.4","29.5","38.8","4.2","2.4","81.5","16.6","2.0"
"47","Austria","2009","1.4","29.7","39.3","4.3","2.3","82.3","17.0","0.6"
