"","Country","Year","percent_of_gdp_spent_on_education"
"1","Albania",1994,3.26519
"2","Albania",1995,3.76471
"3","Albania",1996,2.9763
"4","Albania",1997,3.23428
"5","Albania",1998,3.32642
"6","Albania",1999,3.37971
"7","Albania",2000,3.28692
"8","Albania",2001,3.3406
"9","Albania",2002,3.05664
"10","Albania",2003,3.06427
"11","Albania",2004,3.17008
"12","Albania",2005,3.23872
"13","Albania",2006,3.15719
"14","Albania",2007,3.26868
"15","Albania",2008,3.39516640756302
"16","Albania",2009,3.40994533613445
"17","Albania",2010,3.42472426470588
"18","Albania",2011,3.43950319327731
"19","Albania",2012,3.45428212184873
"20","Albania",2013,3.5393
"21","Albania",2014,3.48383997899159
"22","Albania",2015,3.43797
"23","Albania",2016,3.95464
"24","Antigua and Barbuda",1999,2.75397
"25","Antigua and Barbuda",2000,3.02743443037974
"26","Antigua and Barbuda",2001,2.98575310126581
"27","Antigua and Barbuda",2002,3.39428
"28","Antigua and Barbuda",2003,2.90239044303797
"29","Antigua and Barbuda",2004,2.86070911392405
"30","Antigua and Barbuda",2005,2.81902778481012
"31","Antigua and Barbuda",2006,2.77734645569619
"32","Antigua and Barbuda",2007,2.73566512658226
"33","Antigua and Barbuda",2008,2.69398379746833
"34","Antigua and Barbuda",2009,2.51724
"35","Argentina",1985,1.36186
"36","Argentina",1986,1.26155
"37","Argentina",1987,1.2823
"38","Argentina",1988,1.7430525807888
"39","Argentina",1989,1.04612
"40","Argentina",1990,1.06738
"41","Argentina",1991,2.2005786093157
"42","Argentina",1992,2.35308728549131
"43","Argentina",1993,2.50559596166693
"44","Argentina",1994,2.65810463784254
"45","Argentina",1995,2.81061331401816
"46","Argentina",1996,3.73198
"47","Argentina",1997,3.11563066636938
"48","Argentina",1998,4.03987
"49","Argentina",1999,4.52168
"50","Argentina",2000,4.58031
"51","Argentina",2001,4.83374
"52","Argentina",2002,4.01734
"53","Argentina",2003,3.53505
"54","Argentina",2004,3.48652
"55","Argentina",2005,3.86001
"56","Argentina",2006,4.12821
"57","Argentina",2007,4.4626
"58","Argentina",2008,4.84441
"59","Argentina",2009,5.53105
"60","Argentina",2010,5.01971
"61","Argentina",2011,5.29063
"62","Argentina",2012,5.34583
"63","Argentina",2013,5.43661
"64","Argentina",2014,5.36144
"65","Argentina",2015,5.77611
"66","Argentina",2016,5.57218
"67","Armenia",1996,1.84843
"68","Armenia",1997,2.30369133436908
"69","Armenia",1998,2.34310359312965
"70","Armenia",1999,2.23519
"71","Armenia",2000,2.77273
"72","Armenia",2001,2.46944
"73","Armenia",2002,2.13504
"74","Armenia",2003,2.14504
"75","Armenia",2004,2.48673
"76","Armenia",2005,2.71203
"77","Armenia",2006,2.71577
"78","Armenia",2007,3.01894
"79","Armenia",2008,3.17273
"80","Armenia",2009,3.84079
"81","Armenia",2010,3.249
"82","Armenia",2011,3.14385
"83","Armenia",2012,2.77248
"84","Armenia",2013,2.65018
"85","Armenia",2014,2.24724
"86","Armenia",2015,2.80591
"87","Armenia",2016,2.75812
"88","Aruba",1998,4.76316
"89","Aruba",1999,4.39554
"90","Aruba",2000,4.71468
"91","Aruba",2001,4.73948
"92","Aruba",2002,4.92428
"93","Aruba",2003,4.9390441719745
"94","Aruba",2004,4.40891
"95","Aruba",2005,4.68076
"96","Aruba",2006,5.35847783439488
"97","Aruba",2007,4.81504
"98","Aruba",2008,4.99923
"99","Aruba",2009,5.92479
"100","Aruba",2010,6.92927
"101","Aruba",2011,6.11913
"102","Aruba",2012,6.54906
"103","Aruba",2013,6.80806
"104","Aruba",2014,6.16293
"105","Aruba",2015,6.47906
"106","Australia",1985,5.40677
"107","Australia",1986,5.28191
"108","Australia",1987,5.07159
"109","Australia",1988,4.91881
"110","Australia",1989,4.74832
"111","Australia",1990,4.67556
"112","Australia",1991,4.79385
"113","Australia",1992,4.69172
"114","Australia",1993,5.51654
"115","Australia",1994,5.255
"116","Australia",1995,5.14391
"117","Australia",1996,5.24097
"118","Australia",1997,5.0369653490282
"119","Australia",1998,5.03812022584177
"120","Australia",1999,5.03927510265535
"121","Australia",2000,4.89369
"122","Australia",2001,5.04158485628251
"123","Australia",2002,5.04273973309609
"124","Australia",2003,5.04389460990966
"125","Australia",2004,5.04504948672324
"126","Australia",2005,4.91573
"127","Australia",2006,4.75359
"128","Australia",2007,4.66711
"129","Australia",2008,4.64397
"130","Australia",2009,5.09327
"131","Australia",2010,5.55917
"132","Australia",2011,5.08313
"133","Australia",2012,4.87765
"134","Australia",2013,5.23801
"135","Australia",2014,5.17368
"136","Australia",2015,5.32175
"137","Austria",1985,5.29721
"138","Austria",1986,5.49996
"139","Austria",1987,5.37611
"140","Austria",1988,5.19073
"141","Austria",1989,5.01817
"142","Austria",1990,4.95725
"143","Austria",1991,5.10322
"144","Austria",1992,5.29698
"145","Austria",1993,5.252
"146","Austria",1994,5.35972233943914
"147","Austria",1995,5.42835
"148","Austria",1996,5.2599
"149","Austria",1997,5.38683663708282
"150","Austria",1998,6.10374
"151","Austria",1999,6.11234
"152","Austria",2000,5.58881
"153","Austria",2001,5.57548
"154","Austria",2002,5.52213
"155","Austria",2003,5.36183
"156","Austria",2004,5.30243
"157","Austria",2005,5.24937
"158","Austria",2006,5.22652
"159","Austria",2007,5.1469
"160","Austria",2008,5.26396
"161","Austria",2009,5.73025
"162","Austria",2010,5.70048
"163","Austria",2011,5.59227
"164","Austria",2012,5.4804
"165","Austria",2013,5.54711
"166","Austria",2014,5.44898
"167","Austria",2015,5.45304
"168","Azerbaijan",1992,6.05797
"169","Azerbaijan",1993,4.26558431157429
"170","Azerbaijan",1994,4.17618318248304
"171","Azerbaijan",1995,3.33737
"172","Azerbaijan",1996,3.51252
"173","Azerbaijan",1997,3.90797979520931
"174","Azerbaijan",1998,3.38
"175","Azerbaijan",1999,4.21217
"176","Azerbaijan",2000,3.85399
"177","Azerbaijan",2001,3.50342
"178","Azerbaijan",2002,3.15449
