"","Country","Year","percent_of_people_with_access_to_electricity"
"1","Albania",1990,100
"2","Albania",1991,100
"3","Albania",1992,100
"4","Albania",1993,100
"5","Albania",1994,100
"6","Albania",1995,100
"7","Albania",1996,100
"8","Albania",1997,100
"9","Albania",1998,100
"10","Albania",1999,100
"11","Albania",2000,100
"12","Albania",2001,100
"13","Albania",2002,100
"14","Albania",2003,100
"15","Albania",2004,100
"16","Albania",2005,100
"17","Albania",2006,100
"18","Albania",2007,100
"19","Albania",2008,100
"20","Albania",2009,100
"21","Albania",2010,100
"22","Albania",2011,100
"23","Albania",2012,100
"24","Albania",2013,100
"25","Albania",2014,100
"26","Albania",2015,100
"27","Albania",2016,100
"28","Antigua and Barbuda",1990,85.12319946
"29","Antigua and Barbuda",1991,85.65510559
"30","Antigua and Barbuda",1992,86.18650055
"31","Antigua and Barbuda",1993,86.71483612
"32","Antigua and Barbuda",1994,87.23705292
"33","Antigua and Barbuda",1995,87.75009155
"34","Antigua and Barbuda",1996,88.25089264
"35","Antigua and Barbuda",1997,88.73640442
"36","Antigua and Barbuda",1998,89.20355225
"37","Antigua and Barbuda",1999,89.64929199
"38","Antigua and Barbuda",2000,90.07208252
"39","Antigua and Barbuda",2001,90.47645569
"40","Antigua and Barbuda",2002,90.8684845
"41","Antigua and Barbuda",2003,91.25423431
"42","Antigua and Barbuda",2004,91.63976288
"43","Antigua and Barbuda",2005,92.2
"44","Antigua and Barbuda",2006,92.43440247
"45","Antigua and Barbuda",2007,92.85564423
"46","Antigua and Barbuda",2008,93.29940796
"47","Antigua and Barbuda",2009,93.7641983
"48","Antigua and Barbuda",2010,94.24700928
"49","Antigua and Barbuda",2011,94.55201403
"50","Antigua and Barbuda",2012,95.25469208
"51","Antigua and Barbuda",2013,95.77355194
"52","Antigua and Barbuda",2014,96.29841614
"53","Antigua and Barbuda",2015,96.82629395
"54","Antigua and Barbuda",2016,97.35466766
"55","Argentina",1990,90.64082336
"56","Argentina",1991,91.12367249
"57","Argentina",1992,91.60601807
"58","Argentina",1993,92.08530426
"59","Argentina",1994,92.55847168
"60","Argentina",1995,93.02246094
"61","Argentina",1996,93.47421265
"62","Argentina",1997,93.91067505
"63","Argentina",1998,94.3287735
"64","Argentina",1999,94.72546387
"65","Argentina",2000,95.09920502
"66","Argentina",2001,95.51106347
"67","Argentina",2002,95.79750824
"68","Argentina",2003,96.13420868
"69","Argentina",2004,96.47068024
"70","Argentina",2005,96.81299591
"71","Argentina",2006,97.16722107
"72","Argentina",2007,97.53941345
"73","Argentina",2008,97.93412781
"74","Argentina",2009,98.36336517
"75","Argentina",2010,98.82
"76","Argentina",2011,99.21616364
"77","Argentina",2012,99.58441162
"78","Argentina",2013,99.83712769
"79","Argentina",2014,99.95924377
"80","Argentina",2015,99.99520874
"81","Argentina",2016,100
"82","Armenia",1990,97.68037415
"83","Armenia",1991,97.85359192
"84","Armenia",1992,98.02389526
"85","Armenia",1993,98.19134521
"86","Armenia",1994,98.3526001
"87","Armenia",1995,98.50465393
"88","Armenia",1996,98.64447021
"89","Armenia",1997,98.76902771
"90","Armenia",1998,98.87550354
"91","Armenia",1999,98.96206665
"92","Armenia",2000,98.9
"93","Armenia",2001,100
"94","Armenia",2002,98
"95","Armenia",2003,99.14831543
"96","Armenia",2004,99.17969513
"97","Armenia",2005,99.8
"98","Armenia",2006,99.26573181
"99","Armenia",2007,99.33103943
"100","Armenia",2008,99.41564941
"101","Armenia",2009,99.51981354
"102","Armenia",2010,99.8
"103","Armenia",2011,99.76715088
"104","Armenia",2012,99.87887573
"105","Armenia",2013,99.95405579
"106","Armenia",2014,99.98897552
"107","Armenia",2015,100
"108","Armenia",2016,100
"109","Aruba",1990,88.44535065
"110","Aruba",1991,88.78084564
"111","Aruba",1992,89.11582947
"112","Aruba",1993,89.44775391
"113","Aruba",1994,89.77355957
"114","Aruba",1995,90.09018707
"115","Aruba",1996,90.39458466
"116","Aruba",1997,90.68367767
"117","Aruba",1998,90.954422
"118","Aruba",1999,91.20375061
"119","Aruba",2000,91.660398
"120","Aruba",2001,91.63809204
"121","Aruba",2002,91.83371735
"122","Aruba",2003,92.0230484
"123","Aruba",2004,92.21216583
"124","Aruba",2005,92.40711975
"125","Aruba",2006,92.61398315
"126","Aruba",2007,92.83882141
"127","Aruba",2008,93.08616638
"128","Aruba",2009,93.35454559
"129","Aruba",2010,93.35629215
"130","Aruba",2011,93.94237518
"131","Aruba",2012,94.2558136
"132","Aruba",2013,94.57826233
"133","Aruba",2014,94.90672302
"134","Aruba",2015,95.23818207
"135","Aruba",2016,95.57014465
"136","Australia",1990,100
"137","Australia",1991,100
"138","Australia",1992,100
"139","Australia",1993,100
"140","Australia",1994,100
"141","Australia",1995,100
"142","Australia",1996,100
"143","Australia",1997,100
"144","Australia",1998,100
"145","Australia",1999,100
"146","Australia",2000,100
"147","Australia",2001,100
"148","Australia",2002,100
"149","Australia",2003,100
"150","Australia",2004,100
"151","Australia",2005,100
"152","Australia",2006,100
"153","Australia",2007,100
"154","Australia",2008,100
"155","Australia",2009,100
"156","Australia",2010,100
"157","Australia",2011,100
"158","Australia",2012,100
"159","Australia",2013,100
"160","Australia",2014,100
"161","Australia",2015,100
"162","Australia",2016,100
"163","Austria",1990,100
"164","Austria",1991,100
"165","Austria",1992,100
"166","Austria",1993,100
"167","Austria",1994,100
"168","Austria",1995,100
"169","Austria",1996,100
"170","Austria",1997,100
"171","Austria",1998,100
"172","Austria",1999,100
"173","Austria",2000,100
"174","Austria",2001,100
"175","Austria",2002,100
"176","Austria",2003,100
"177","Austria",2004,100
"178","Austria",2005,100
"179","Austria",2006,100
"180","Austria",2007,100
"181","Austria",2008,100
"182","Austria",2009,100
"183","Austria",2010,100
"184","Austria",2011,100
"185","Austria",2012,100
"186","Austria",2013,100
"187","Austria",2014,100
"188","Austria",2015,100
"189","Austria",2016,100
"190","Azerbaijan",1990,95.87023163
"191","Azerbaijan",1991,96.16372681
"192","Azerbaijan",1992,96.45671844
"193","Azerbaijan",1993,96.74664307
"194","Azerbaijan",1994,97.03045654
"195","Azerbaijan",1995,97.30509186
"196","Azerbaijan",1996,97.56748962
"197","Azerbaijan",1997,97.81459045
"198","Azerbaijan",1998,98.02761841
"199","Azerbaijan",1999,97
"200","Azerbaijan",2000,98.90822245
"201","Azerbaijan",2001,98.59178162
"202","Azerbaijan",2002,100
"203","Azerbaijan",2003,98.90182495
"204","Azerbaijan",2004,99.05349731
"205","Azerbaijan",2005,99.21097565
"206","Azerbaijan",2006,99.5
"207","Azerbaijan",2007,99.56214142
"208","Azerbaijan",2008,99.74180603
"209","Azerbaijan",2009,99.88473511
"210","Azerbaijan",2010,99.96567535
"211","Azerbaijan",2011,99.9
"212","Azerbaijan",2012,99.99971008
"213","Azerbaijan",2013,100
"214","Azerbaijan",2014,100
"215","Azerbaijan",2015,100
"216","Azerbaijan",2016,100
"217","Bahrain",2001,100
"218","Bahrain",2002,100
"219","Bahrain",2003,100
"220","Bahrain",2004,100
"221","Bahrain",2005,100
"222","Bahrain",2006,100
"223","Bahrain",2007,100
"224","Bahrain",2008,100
"225","Bahrain",2009,100
"226","Bahrain",2010,100
"227","Bahrain",2011,100
"228","Bahrain",2012,100
"229","Bahrain",2013,100
"230","Bahrain",2014,100
"231","Bahrain",2015,100
"232","Bahrain",2016,100
"233","Barbados",2000,100
"234","Barbados",2001,100
"235","Barbados",2002,100
"236","Barbados",2003,100
"237","Barbados",2004,100
"238","Barbados",2005,100
"239","Barbados",2006,100
"240","Barbados",2007,100
"241","Barbados",2008,100
"242","Barbados",2009,100
"243","Barbados",2010,100
"244","Barbados",2011,100
"245","Barbados",2012,100
"246","Barbados",2013,100
"247","Barbados",2014,100
"248","Barbados",2015,100
"249","Barbados",2016,100
"250","Belarus",1990,100
"251","Belarus",1991,100
"252","Belarus",1992,100
"253","Belarus",1993,100
"254","Belarus",1994,100
"255","Belarus",1995,100
"256","Belarus",1996,100
"257","Belarus",1997,100
"258","Belarus",1998,100
"259","Belarus",1999,100
"260","Belarus",2000,100
"261","Belarus",2001,100
"262","Belarus",2002,100
"263","Belarus",2003,100
"264","Belarus",2004,100
"265","Belarus",2005,100
"266","Belarus",2006,100
"267","Belarus",2007,100
"268","Belarus",2008,100
"269","Belarus",2009,100
"270","Belarus",2010,100
"271","Belarus",2011,100
"272","Belarus",2012,100
"273","Belarus",2013,100
"274","Belarus",2014,100
"275","Belarus",2015,100
"276","Belarus",2016,100
"277","Belgium",1990,100
"278","Belgium",1991,100
"279","Belgium",1992,100
"280","Belgium",1993,100
"281","Belgium",1994,100
"282","Belgium",1995,100
"283","Belgium",1996,100
"284","Belgium",1997,100
"285","Belgium",1998,100
"286","Belgium",1999,100
"287","Belgium",2000,100
"288","Belgium",2001,100
"289","Belgium",2002,100
"290","Belgium",2003,100
"291","Belgium",2004,100
"292","Belgium",2005,100
"293","Belgium",2006,100
"294","Belgium",2007,100
"295","Belgium",2008,100
"296","Belgium",2009,100
"297","Belgium",2010,100
"298","Belgium",2011,100
"299","Belgium",2012,100
"300","Belgium",2013,100
"301","Belgium",2014,100
"302","Belgium",2015,100
"303","Belgium",2016,100
"304","Belize",1990,87.96473694
"305","Belize",1991,88.18964386
"306","Belize",1992,88.41403961
"307","Belize",1993,88.63538361
"308","Belize",1994,88.8506012
"309","Belize",1995,89.05664825
"310","Belize",1996,89.25045776
"311","Belize",1997,89.42897034
"312","Belize",1998,89.58912659
"313","Belize",1999,89.72786713
"314","Belize",2000,89.84365845
"315","Belize",2001,89.94104004
"316","Belize",2002,90.02607727
"317","Belize",2003,90.10482788
"318","Belize",2004,90.18335724
"319","Belize",2005,90.26773071
"320","Belize",2006,90.98853086
"321","Belize",2007,90.47825623
"322","Belize",2008,90.61502075
"323","Belize",2009,90.77281189
"324","Belize",2010,89.91722437
"325","Belize",2011,91.68173599
"326","Belize",2012,91.3423233
"327","Belize",2013,91.55418396
"328","Belize",2014,91.77205658
"329","Belize",2015,91.8
"330","Belize",2016,92.21431732
"331","Bosnia and Herzegovina",1990,96.88565063
"332","Bosnia and Herzegovina",1991,97.11223602
"333","Bosnia and Herzegovina",1992,97.33831024
"334","Bosnia and Herzegovina",1993,97.56132507
"335","Bosnia and Herzegovina",1994,97.77822113
"336","Bosnia and Herzegovina",1995,97.98593903
"337","Bosnia and Herzegovina",1996,98.16995239
"338","Bosnia and Herzegovina",1997,98.34786987
"339","Bosnia and Herzegovina",1998,98.50772095
"340","Bosnia and Herzegovina",1999,98.64764404
"341","Bosnia and Herzegovina",2000,98.76785278
"342","Bosnia and Herzegovina",2001,99.4
"343","Bosnia and Herzegovina",2002,98.5
"344","Bosnia and Herzegovina",2003,99.04735565
"345","Bosnia and Herzegovina",2004,99.1321106
"346","Bosnia and Herzegovina",2005,99.22267914
"347","Bosnia and Herzegovina",2006,99.38727699
"348","Bosnia and Herzegovina",2007,99.7
"349","Bosnia and Herzegovina",2008,99.58003998
"350","Bosnia and Herzegovina",2009,99.72540283
"351","Bosnia and Herzegovina",2010,99.85575867
"352","Bosnia and Herzegovina",2011,99.70578055
"353","Bosnia and Herzegovina",2012,99.98661804
"354","Bosnia and Herzegovina",2013,99.99848938
"355","Bosnia and Herzegovina",2014,100
"356","Bosnia and Herzegovina",2015,100
"357","Bosnia and Herzegovina",2016,100
"358","Brazil",1990,87.475116
"359","Brazil",1991,89.83562469
"360","Brazil",1992,88.803833
"361","Brazil",1993,89.999927
"362","Brazil",1994,91.4888916
"363","Brazil",1995,91.728598
"364","Brazil",1996,92.867095
"365","Brazil",1997,93.354139
"366","Brazil",1998,94.193812
"367","Brazil",1999,94.76296
"368","Brazil",2000,94.46656799
"369","Brazil",2001,96.016528
"370","Brazil",2002,96.652996
"371","Brazil",2003,96.980098
"372","Brazil",2004,96.765107
"373","Brazil",2005,97.093513
