"","Country","Year","female_life_expectancy"
"1","Albania",1985,74.15
"2","Albania",1986,74.488
"3","Albania",1987,74.741
"4","Albania",1988,74.902
"5","Albania",1989,74.978
"6","Albania",1990,74.992
"7","Albania",1991,74.981
"8","Albania",1992,74.985
"9","Albania",1993,75.039
"10","Albania",1994,75.158
"11","Albania",1995,75.352
"12","Albania",1996,75.618
"13","Albania",1997,75.931
"14","Albania",1998,76.269
"15","Albania",1999,76.616
"16","Albania",2000,76.953
"17","Albania",2001,77.264
"18","Albania",2002,77.541
"19","Albania",2003,77.782
"20","Albania",2004,77.988
"21","Albania",2005,78.17
"22","Albania",2006,78.344
"23","Albania",2007,78.528
"24","Albania",2008,78.733
"25","Albania",2009,78.962
"26","Albania",2010,79.209
"27","Albania",2011,79.462
"28","Albania",2012,79.705
"29","Albania",2013,79.927
"30","Albania",2014,80.124
"31","Albania",2015,80.297
"32","Albania",2016,80.451
"33","Antigua and Barbuda",1985,72.574
"34","Antigua and Barbuda",1986,72.826
"35","Antigua and Barbuda",1987,73.073
"36","Antigua and Barbuda",1988,73.316
"37","Antigua and Barbuda",1989,73.555
"38","Antigua and Barbuda",1990,73.79
"39","Antigua and Barbuda",1991,74.022
"40","Antigua and Barbuda",1992,74.251
"41","Antigua and Barbuda",1993,74.476
"42","Antigua and Barbuda",1994,74.697
"43","Antigua and Barbuda",1995,74.914
"44","Antigua and Barbuda",1996,75.128
"45","Antigua and Barbuda",1997,75.338
"46","Antigua and Barbuda",1998,75.545
"47","Antigua and Barbuda",1999,75.747
"48","Antigua and Barbuda",2000,75.947
"49","Antigua and Barbuda",2001,76.144
"50","Antigua and Barbuda",2002,76.338
"51","Antigua and Barbuda",2003,76.53
"52","Antigua and Barbuda",2004,76.719
"53","Antigua and Barbuda",2005,76.906
"54","Antigua and Barbuda",2006,77.091
"55","Antigua and Barbuda",2007,77.273
"56","Antigua and Barbuda",2008,77.452
"57","Antigua and Barbuda",2009,77.628
"58","Antigua and Barbuda",2010,77.8
"59","Antigua and Barbuda",2011,77.967
"60","Antigua and Barbuda",2012,78.129
"61","Antigua and Barbuda",2013,78.287
"62","Antigua and Barbuda",2014,78.44
"63","Antigua and Barbuda",2015,78.59
"64","Antigua and Barbuda",2016,78.738
"65","Argentina",1985,74.206
"66","Argentina",1986,74.387
"67","Argentina",1987,74.569
"68","Argentina",1988,74.762
"69","Argentina",1989,74.969
"70","Argentina",1990,75.191
"71","Argentina",1991,75.426
"72","Argentina",1992,75.666
"73","Argentina",1993,75.905
"74","Argentina",1994,76.142
"75","Argentina",1995,76.377
"76","Argentina",1996,76.611
"77","Argentina",1997,76.844
"78","Argentina",1998,77.079
"79","Argentina",1999,77.313
"80","Argentina",2000,77.544
"81","Argentina",2001,77.769
"82","Argentina",2002,77.987
"83","Argentina",2003,78.194
"84","Argentina",2004,78.392
"85","Argentina",2005,78.581
"86","Argentina",2006,78.761
"87","Argentina",2007,78.936
"88","Argentina",2008,79.107
"89","Argentina",2009,79.275
"90","Argentina",2010,79.439
"91","Argentina",2011,79.599
"92","Argentina",2012,79.752
"93","Argentina",2013,79.899
"94","Argentina",2014,80.04
"95","Argentina",2015,80.177
"96","Argentina",2016,80.31
"97","Armenia",1985,72.251
"98","Armenia",1986,71.7
"99","Armenia",1987,71.232
"100","Armenia",1988,70.908
"101","Armenia",1989,70.755
"102","Armenia",1990,70.782
"103","Armenia",1991,70.969
"104","Armenia",1992,71.26
"105","Armenia",1993,71.607
"106","Armenia",1994,71.985
"107","Armenia",1995,72.38
"108","Armenia",1996,72.787
"109","Armenia",1997,73.21
"110","Armenia",1998,73.643
"111","Armenia",1999,74.07
"112","Armenia",2000,74.469
"113","Armenia",2001,74.817
"114","Armenia",2002,75.106
"115","Armenia",2003,75.335
"116","Armenia",2004,75.509
"117","Armenia",2005,75.642
"118","Armenia",2006,75.757
"119","Armenia",2007,75.88
"120","Armenia",2008,76.027
"121","Armenia",2009,76.206
"122","Armenia",2010,76.415
"123","Armenia",2011,76.644
"124","Armenia",2012,76.874
"125","Armenia",2013,77.091
"126","Armenia",2014,77.292
"127","Armenia",2015,77.474
"128","Armenia",2016,77.64
"129","Aruba",1985,75.556
"130","Aruba",1986,75.663
"131","Aruba",1987,75.754
"132","Aruba",1988,75.827
"133","Aruba",1989,75.886
"134","Aruba",1990,75.932
"135","Aruba",1991,75.969
"136","Aruba",1992,76.002
"137","Aruba",1993,76.033
"138","Aruba",1994,76.066
"139","Aruba",1995,76.1
"140","Aruba",1996,76.133
"141","Aruba",1997,76.164
"142","Aruba",1998,76.192
"143","Aruba",1999,76.221
"144","Aruba",2000,76.257
"145","Aruba",2001,76.307
"146","Aruba",2002,76.375
"147","Aruba",2003,76.465
"148","Aruba",2004,76.575
"149","Aruba",2005,76.703
"150","Aruba",2006,76.845
"151","Aruba",2007,76.992
"152","Aruba",2008,77.14
"153","Aruba",2009,77.285
"154","Aruba",2010,77.425
"155","Aruba",2011,77.561
"156","Aruba",2012,77.695
"157","Aruba",2013,77.83
"158","Aruba",2014,77.965
"159","Aruba",2015,78.1
"160","Aruba",2016,78.236
"161","Australia",1985,79.02
"162","Australia",1986,79.2
"163","Australia",1987,79.44
"164","Australia",1988,79.68
"165","Australia",1989,79.92
"166","Australia",1990,80.16
"167","Australia",1991,80.4
"168","Australia",1992,80.4
"169","Australia",1993,80.9
"170","Australia",1994,80.9
"171","Australia",1995,80.8
"172","Australia",1996,81.1
"173","Australia",1997,81.4
"174","Australia",1998,81.5
"175","Australia",1999,81.8
"176","Australia",2000,82
"177","Australia",2001,82.4
"178","Australia",2002,82.6
"179","Australia",2003,82.8
"180","Australia",2004,83
"181","Australia",2005,83.3
"182","Australia",2006,83.5
"183","Australia",2007,83.7
"184","Australia",2008,83.7
"185","Australia",2009,83.9
"186","Australia",2010,84
"187","Australia",2011,84.2
"188","Australia",2012,84.3
"189","Australia",2013,84.3
"190","Australia",2014,84.4
"191","Australia",2015,84.5
"192","Australia",2016,84.6
"193","Austria",1985,77.4
"194","Austria",1986,77.8
"195","Austria",1987,78.2
"196","Austria",1988,78.7
"197","Austria",1989,78.8
"198","Austria",1990,79
"199","Austria",1991,79.1
"200","Austria",1992,79.3
"201","Austria",1993,79.5
"202","Austria",1994,79.8
"203","Austria",1995,80.1
"204","Austria",1996,80.2
"205","Austria",1997,80.7
"206","Austria",1998,81
"207","Austria",1999,81
"208","Austria",2000,81.2
"209","Austria",2001,81.7
"210","Austria",2002,81.7
"211","Austria",2003,81.5
"212","Austria",2004,82.1
"213","Austria",2005,82.2
"214","Austria",2006,82.8
"215","Austria",2007,83.1
"216","Austria",2008,83.3
"217","Austria",2009,83.2
"218","Austria",2010,83.5
"219","Austria",2011,83.8
"220","Austria",2012,83.6
"221","Austria",2013,83.8
"222","Austria",2014,84
"223","Austria",2015,83.7
"224","Austria",2016,83.4
"225","Azerbaijan",1985,68.142
"226","Azerbaijan",1986,68.309
"227","Azerbaijan",1987,68.463
"228","Azerbaijan",1988,68.598
"229","Azerbaijan",1989,68.714
"230","Azerbaijan",1990,68.817
"231","Azerbaijan",1991,68.917
"232","Azerbaijan",1992,69.024
"233","Azerbaijan",1993,69.148
"234","Azerbaijan",1994,69.286
"235","Azerbaijan",1995,69.428
"236","Azerbaijan",1996,69.553
"237","Azerbaijan",1997,69.653
"238","Azerbaijan",1998,69.729
"239","Azerbaijan",1999,69.797
"240","Azerbaijan",2000,69.891
"241","Azerbaijan",2001,70.06
"242","Azerbaijan",2002,70.33
"243","Azerbaijan",2003,70.713
"244","Azerbaijan",2004,71.2
"245","Azerbaijan",2005,71.76
"246","Azerbaijan",2006,72.347
"247","Azerbaijan",2007,72.91
"248","Azerbaijan",2008,73.405
"249","Azerbaijan",2009,73.813
"250","Azerbaijan",2010,74.127
"251","Azerbaijan",2011,74.355
"252","Azerbaijan",2012,74.527
"253","Azerbaijan",2013,74.672
"254","Azerbaijan",2014,74.801
"255","Azerbaijan",2015,74.924
"256","Azerbaijan",2016,75.046
"257","Bahrain",1985,72.705
"258","Bahrain",1986,72.913
"259","Bahrain",1987,73.107
"260","Bahrain",1988,73.292
"261","Bahrain",1989,73.472
"262","Bahrain",1990,73.651
"263","Bahrain",1991,73.831
"264","Bahrain",1992,74.011
"265","Bahrain",1993,74.19
"266","Bahrain",1994,74.37
"267","Bahrain",1995,74.55
"268","Bahrain",1996,74.73
"269","Bahrain",1997,74.909
"270","Bahrain",1998,75.085
"271","Bahrain",1999,75.258
"272","Bahrain",2000,75.43
"273","Bahrain",2001,75.601
"274","Bahrain",2002,75.771
"275","Bahrain",2003,75.942
"276","Bahrain",2004,76.112
"277","Bahrain",2005,76.282
"278","Bahrain",2006,76.45
"279","Bahrain",2007,76.615
"280","Bahrain",2008,76.776
"281","Bahrain",2009,76.933
"282","Bahrain",2010,77.087
"283","Bahrain",2011,77.239
"284","Bahrain",2012,77.39
"285","Bahrain",2013,77.542
"286","Bahrain",2014,77.693
"287","Bahrain",2015,77.844
"288","Bahrain",2016,77.995
"289","Barbados",1985,72.257
"290","Barbados",1986,72.517
"291","Barbados",1987,72.771
"292","Barbados",1988,73.02
"293","Barbados",1989,73.264
"294","Barbados",1990,73.505
"295","Barbados",1991,73.741
"296","Barbados",1992,73.974
"297","Barbados",1993,74.202
"298","Barbados",1994,74.425
"299","Barbados",1995,74.641
"300","Barbados",1996,74.849
"301","Barbados",1997,75.048
"302","Barbados",1998,75.237
"303","Barbados",1999,75.418
"304","Barbados",2000,75.592
"305","Barbados",2001,75.76
"306","Barbados",2002,75.927
"307","Barbados",2003,76.094
"308","Barbados",2004,76.261
"309","Barbados",2005,76.431
"310","Barbados",2006,76.603
"311","Barbados",2007,76.776
"312","Barbados",2008,76.949
"313","Barbados",2009,77.122
"314","Barbados",2010,77.293
"315","Barbados",2011,77.461
"316","Barbados",2012,77.626
