"","Country","Year","fertility_rate"
"1","Albania",1985,3.269
"2","Albania",1986,3.217
"3","Albania",1987,3.164
"4","Albania",1988,3.108
"5","Albania",1989,3.046
"6","Albania",1990,2.978
"7","Albania",1991,2.905
"8","Albania",1992,2.829
"9","Albania",1993,2.751
"10","Albania",1994,2.672
"11","Albania",1995,2.591
"12","Albania",1996,2.507
"13","Albania",1997,2.422
"14","Albania",1998,2.334
"15","Albania",1999,2.246
"16","Albania",2000,2.157
"17","Albania",2001,2.068
"18","Albania",2002,1.981
"19","Albania",2003,1.897
"20","Albania",2004,1.821
"21","Albania",2005,1.754
"22","Albania",2006,1.703
"23","Albania",2007,1.668
"24","Albania",2008,1.65
"25","Albania",2009,1.646
"26","Albania",2010,1.653
"27","Albania",2011,1.668
"28","Albania",2012,1.685
"29","Albania",2013,1.7
"30","Albania",2014,1.71
"31","Albania",2015,1.714
"32","Albania",2016,1.713
"33","Antigua and Barbuda",1985,2.092
"34","Antigua and Barbuda",1986,2.082
"35","Antigua and Barbuda",1987,2.07
"36","Antigua and Barbuda",1988,2.062
"37","Antigua and Barbuda",1989,2.058
"38","Antigua and Barbuda",1990,2.061
"39","Antigua and Barbuda",1991,2.073
"40","Antigua and Barbuda",1992,2.096
"41","Antigua and Barbuda",1993,2.128
"42","Antigua and Barbuda",1994,2.166
"43","Antigua and Barbuda",1995,2.208
"44","Antigua and Barbuda",1996,2.248
"45","Antigua and Barbuda",1997,2.281
"46","Antigua and Barbuda",1998,2.304
"47","Antigua and Barbuda",1999,2.316
"48","Antigua and Barbuda",2000,2.316
"49","Antigua and Barbuda",2001,2.305
"50","Antigua and Barbuda",2002,2.288
"51","Antigua and Barbuda",2003,2.268
"52","Antigua and Barbuda",2004,2.246
"53","Antigua and Barbuda",2005,2.224
"54","Antigua and Barbuda",2006,2.203
"55","Antigua and Barbuda",2007,2.183
"56","Antigua and Barbuda",2008,2.164
"57","Antigua and Barbuda",2009,2.146
"58","Antigua and Barbuda",2010,2.13
"59","Antigua and Barbuda",2011,2.115
"60","Antigua and Barbuda",2012,2.102
"61","Antigua and Barbuda",2013,2.089
"62","Antigua and Barbuda",2014,2.076
"63","Antigua and Barbuda",2015,2.063
"64","Antigua and Barbuda",2016,2.051
"65","Argentina",1985,3.093
"66","Argentina",1986,3.073
"67","Argentina",1987,3.056
"68","Argentina",1988,3.037
"69","Argentina",1989,3.016
"70","Argentina",1990,2.989
"71","Argentina",1991,2.954
"72","Argentina",1992,2.913
"73","Argentina",1993,2.866
"74","Argentina",1994,2.815
"75","Argentina",1995,2.762
"76","Argentina",1996,2.711
"77","Argentina",1997,2.664
"78","Argentina",1998,2.623
"79","Argentina",1999,2.589
"80","Argentina",2000,2.561
"81","Argentina",2001,2.537
"82","Argentina",2002,2.516
"83","Argentina",2003,2.495
"84","Argentina",2004,2.474
"85","Argentina",2005,2.452
"86","Argentina",2006,2.432
"87","Argentina",2007,2.413
"88","Argentina",2008,2.396
"89","Argentina",2009,2.382
"90","Argentina",2010,2.37
"91","Argentina",2011,2.358
"92","Argentina",2012,2.347
"93","Argentina",2013,2.335
"94","Argentina",2014,2.322
"95","Argentina",2015,2.308
"96","Argentina",2016,2.293
"97","Armenia",1985,2.559
"98","Armenia",1986,2.578
"99","Armenia",1987,2.591
"100","Armenia",1988,2.592
"101","Armenia",1989,2.578
"102","Armenia",1990,2.544
"103","Armenia",1991,2.484
"104","Armenia",1992,2.4
"105","Armenia",1993,2.297
"106","Armenia",1994,2.179
"107","Armenia",1995,2.056
"108","Armenia",1996,1.938
"109","Armenia",1997,1.832
"110","Armenia",1998,1.747
"111","Armenia",1999,1.685
"112","Armenia",2000,1.648
"113","Armenia",2001,1.635
"114","Armenia",2002,1.637
"115","Armenia",2003,1.648
"116","Armenia",2004,1.665
"117","Armenia",2005,1.681
"118","Armenia",2006,1.694
"119","Armenia",2007,1.702
"120","Armenia",2008,1.706
"121","Armenia",2009,1.703
"122","Armenia",2010,1.693
"123","Armenia",2011,1.68
"124","Armenia",2012,1.664
"125","Armenia",2013,1.648
"126","Armenia",2014,1.634
"127","Armenia",2015,1.622
"128","Armenia",2016,1.612
"129","Aruba",1985,2.332
"130","Aruba",1986,2.32
"131","Aruba",1987,2.307
"132","Aruba",1988,2.291
"133","Aruba",1989,2.272
"134","Aruba",1990,2.249
"135","Aruba",1991,2.221
"136","Aruba",1992,2.187
"137","Aruba",1993,2.149
"138","Aruba",1994,2.108
"139","Aruba",1995,2.064
"140","Aruba",1996,2.021
"141","Aruba",1997,1.978
