"","Country","Year","gdp","gdp_per_capita"
"1","Albania",1987,"2156624900",796
"2","Albania",1988,"2126000000",769
"3","Albania",1989,"2335124988",833
"4","Albania",1992,"709452584",251
"5","Albania",1993,"1228071038",437
"6","Albania",1994,"1985673798",697
"7","Albania",1995,"2424499009",835
"8","Albania",1996,"3314898292",1127
"9","Albania",1997,"2359903108",793
"10","Albania",1998,"2707123772",899
"11","Albania",1999,"3414760915",1127
"12","Albania",2000,"3632043908",1299
"13","Albania",2001,"4060758804",1451
"14","Albania",2002,"4435078648",1573
"15","Albania",2003,"5746945913",2021
"16","Albania",2004,"7314865176",2544
"17","Albania",2005,"8158548717",2931
"18","Albania",2006,"8992642349",3235
"19","Albania",2007,"10701011897",3863
"20","Albania",2008,"12881352688",4672
"21","Albania",2009,"12044212904",4387
"22","Albania",2010,"11926953259",4359
"23","Antigua and Barbuda",1985,"240923926",3850
"24","Antigua and Barbuda",1986,"290440148",4740
"25","Antigua and Barbuda",1987,"337174852",5595
"26","Antigua and Barbuda",1988,"398637741",6693
"27","Antigua and Barbuda",1989,"438794778",7407
"28","Antigua and Barbuda",1990,"459469074",7744
"29","Antigua and Barbuda",1991,"481706333",7976
"30","Antigua and Barbuda",1992,"499281148",8087
"31","Antigua and Barbuda",1993,"535172778",8453
"32","Antigua and Barbuda",1994,"589429593",9062
"33","Antigua and Barbuda",1995,"577280741",8636
"34","Antigua and Barbuda",1998,"727860593",10078
"35","Antigua and Barbuda",1999,"766198926",10378
"36","Antigua and Barbuda",2000,"830158778",11021
"37","Antigua and Barbuda",2001,"800740259",10468
"38","Antigua and Barbuda",2002,"814615333",10499
"39","Antigua and Barbuda",2003,"855643111",10878
"40","Antigua and Barbuda",2004,"919577148",11535
"41","Antigua and Barbuda",2005,"1022191296",12649
"42","Antigua and Barbuda",2006,"1157005444",14114
"43","Antigua and Barbuda",2007,"1311401333",15775
"44","Antigua and Barbuda",2008,"1368431037",16238
"45","Antigua and Barbuda",2009,"1224253000",14335
"46","Antigua and Barbuda",2012,"1211411704",13657
"47","Antigua and Barbuda",2013,"1192925407",13287
"48","Antigua and Barbuda",2014,"1280133333",14093
"49","Antigua and Barbuda",2015,"1364863037",14853
"50","Argentina",1985,"88416668900",3264
"51","Argentina",1986,"110934442763",4072
"52","Argentina",1987,"111106191358",4026
"53","Argentina",1988,"126206817196",4458
"54","Argentina",1989,"76636898036",2670
"55","Argentina",1990,"141352368715",4859
"56","Argentina",1991,"189719984268",6404
"57","Argentina",1992,"228788617202",7615
"58","Argentina",1993,"236741715015",7768
"59","Argentina",1994,"257440000000",8328
"60","Argentina",1995,"258031750000",8232
"61","Argentina",1996,"272149750000",8563
"62","Argentina",1997,"292859000000",9057
"63","Argentina",1998,"298948250000",9126
"64","Argentina",1999,"283523000000",8546
"65","Argentina",2000,"284203750000",8462
"66","Argentina",2001,"268696750000",7900
"67","Argentina",2002,"97724004252",2840
"68","Argentina",2003,"127586973492",3668
"69","Argentina",2004,"164657930453",4683
"70","Argentina",2005,"198737095012",5590
"71","Argentina",2006,"232557260817",6475
"72","Argentina",2007,"287530508431",7918
"73","Argentina",2008,"361558037110",9843
"74","Argentina",2009,"332976484578",8961
"75","Argentina",2010,"423627422092",11273
"76","Argentina",2011,"530163281575",13946
"77","Argentina",2012,"545982375701",14203
"78","Argentina",2013,"552025140252",14206
"79","Argentina",2014,"526319673732",13400
"80","Argentina",2015,"594749285413",14981
"81","Armenia",1990,"2256838858",756
"82","Armenia",1991,"2068526522",640
"83","Armenia",1992,"1272577456",385
"84","Armenia",1993,"1201313201",357
"85","Armenia",1994,"1315158670",387
"86","Armenia",1995,"1468317350",426
"87","Armenia",1996,"1596968913",458
"88","Armenia",1997,"1639492424",465
"89","Armenia",1998,"1893726437",532
"90","Armenia",1999,"1845482181",515
"91","Armenia",2000,"1911563665",530
"92","Armenia",2001,"2118467913",587
"93","Armenia",2002,"2376335048",788
"94","Armenia",2003,"2807061009",928
"95","Armenia",2006,"6384451606",2310
"96","Armenia",2007,"9206301700",3366
"97","Armenia",2008,"11662040714",3829
"98","Armenia",2009,"8647936748",3215
"99","Armenia",2010,"9260284938",3460
"100","Armenia",2011,"10142111334",3798
"101","Armenia",2012,"10619320049",3773
"102","Armenia",2013,"11121465767",3957
"103","Armenia",2014,"11609512940",4142
"104","Armenia",2015,"10553337673",3775
"105","Armenia",2016,"10546135160",3788
"106","Aruba",1995,"1320670391",17949
"107","Aruba",1999,"1722798883",21027
"108","Aruba",2000,"1873452514",22333
"109","Aruba",2001,"1920262570",22317
"110","Aruba",2002,"1941094972",21987
"111","Aruba",2003,"2021301676",22345
"112","Aruba",2004,"2228279330",24133
"113","Aruba",2005,"2331005587",24870
"114","Aruba",2006,"2421474860",25622
"115","Aruba",2007,"2623726257",27672
"116","Aruba",2008,"2791960894",29447
"117","Aruba",2009,"2498932961",26361
"118","Aruba",2010,"2467703911",25974
"119","Aruba",2011,"2584463687",27066
"120","Australia",1985,"180190994861",12374
"121","Australia",1986,"181977476217",12288
"122","Australia",1987,"189041159344",12564
"123","Australia",1988,"235699941793",15393
"124","Australia",1989,"299317645143",19223
"125","Australia",1990,"310838014621",19665
"126","Australia",1991,"325358292128",20320
"127","Australia",1992,"324878105053",20050
"128","Australia",1993,"311528948848",19030
"129","Australia",1994,"322201314424",19469
"130","Australia",1995,"367216364716",21902
"131","Australia",1996,"400302731411",23526
"132","Australia",1997,"434568007513",25234
"133","Australia",1998,"398899138574",22897
"134","Australia",1999,"388395162301",22016
"135","Australia",2000,"415034227218",23219
"136","Australia",2001,"378215090694",20860
"137","Australia",2002,"394486709920",21474
"138","Australia",2003,"466294700058",25059
"139","Australia",2004,"611904253806",32454
"140","Australia",2006,"745521862833",39014
"141","Australia",2007,"851962785585",43171
"142","Australia",2008,"1052584601611",52315
"143","Australia",2009,"926448240318",45128
"144","Australia",2010,"1144260547873",54887
"145","Australia",2011,"1394280784778",66770
"146","Australia",2012,"1543411012580",72669
"147","Australia",2013,"1573696522007",72856
"148","Australia",2014,"1464955475994",66809
"149","Australia",2015,"1349034029453",60656
"150","Austria",1985,"69386774475",9759
"151","Austria",1986,"99036165210",13911
"152","Austria",1987,"124168442860",17415
"153","Austria",1988,"133339397080",18663
"154","Austria",1989,"133105805928",18544
"155","Austria",1990,"166463386663",23020
"156","Austria",1991,"173794177725",23808
"157","Austria",1992,"195078126346",26450
"158","Austria",1993,"190379720927",25611
"159","Austria",1994,"203535242742",27274
"160","Austria",1995,"241038283063",32237
"161","Austria",1996,"237250948791",31660
"162","Austria",1997,"212790348405",28325
"163","Austria",1998,"218259904402",28972
