"","Country","Year","infant_mortality_rate"
"1","Albania",1985,54
"2","Albania",1986,50.4
"3","Albania",1987,47.2
"4","Albania",1988,44.5
"5","Albania",1989,42.2
"6","Albania",1990,40.1
"7","Albania",1991,38.4
"8","Albania",1992,36.8
"9","Albania",1993,35.4
"10","Albania",1994,33.9
"11","Albania",1995,32.4
"12","Albania",1996,30.9
"13","Albania",1997,29.3
"14","Albania",1998,27.7
"15","Albania",1999,26.1
"16","Albania",2000,24.5
"17","Albania",2001,22.9
"18","Albania",2002,21.4
"19","Albania",2003,19.9
"20","Albania",2004,18.5
"21","Albania",2005,17.2
"22","Albania",2006,16
"23","Albania",2007,14.8
"24","Albania",2008,13.8
"25","Albania",2009,12.8
"26","Albania",2010,12
"27","Albania",2011,11.3
"28","Albania",2012,10.7
"29","Albania",2013,10.1
"30","Albania",2014,9.7
"31","Albania",2015,9.4
"32","Albania",2016,9.1
"33","Antigua and Barbuda",1985,35.5
"34","Antigua and Barbuda",1986,33.4
"35","Antigua and Barbuda",1987,31.5
"36","Antigua and Barbuda",1988,29.6
"37","Antigua and Barbuda",1989,27.9
"38","Antigua and Barbuda",1990,26.3
"39","Antigua and Barbuda",1991,24.7
"40","Antigua and Barbuda",1992,23.3
"41","Antigua and Barbuda",1993,22
"42","Antigua and Barbuda",1994,20.7
"43","Antigua and Barbuda",1995,19.5
"44","Antigua and Barbuda",1996,18.4
"45","Antigua and Barbuda",1997,17.4
"46","Antigua and Barbuda",1998,16.5
"47","Antigua and Barbuda",1999,15.6
"48","Antigua and Barbuda",2000,14.9
"49","Antigua and Barbuda",2001,14.2
"50","Antigua and Barbuda",2002,13.6
"51","Antigua and Barbuda",2003,13
"52","Antigua and Barbuda",2004,12.5
"53","Antigua and Barbuda",2005,12
"54","Antigua and Barbuda",2006,11.5
"55","Antigua and Barbuda",2007,11.1
"56","Antigua and Barbuda",2008,10.7
"57","Antigua and Barbuda",2009,10.3
"58","Antigua and Barbuda",2010,9.8
"59","Antigua and Barbuda",2011,9.5
"60","Antigua and Barbuda",2012,9.1
"61","Antigua and Barbuda",2013,8.7
"62","Antigua and Barbuda",2014,8.3
"63","Antigua and Barbuda",2015,8
"64","Antigua and Barbuda",2016,7.7
"65","Argentina",1985,31.1
"66","Argentina",1986,29.9
"67","Argentina",1987,29.3
"68","Argentina",1988,29.1
"69","Argentina",1989,29
"70","Argentina",1990,28.8
"71","Argentina",1991,28.3
"72","Argentina",1992,27.6
"73","Argentina",1993,26.5
"74","Argentina",1994,25.5
"75","Argentina",1995,24.4
"76","Argentina",1996,23.4
"77","Argentina",1997,22.4
"78","Argentina",1998,21.5
"79","Argentina",1999,20.6
"80","Argentina",2000,19.8
"81","Argentina",2001,19
"82","Argentina",2002,18.3
"83","Argentina",2003,17.6
"84","Argentina",2004,17
"85","Argentina",2005,16.5
"86","Argentina",2006,16.1
"87","Argentina",2007,15.7
"88","Argentina",2008,15.4
"89","Argentina",2009,15
"90","Argentina",2010,14.5
"91","Argentina",2011,13.9
"92","Argentina",2012,13.3
"93","Argentina",2013,12.7
"94","Argentina",2014,12
"95","Argentina",2015,11.4
"96","Argentina",2016,10.9
"97","Armenia",1985,61.4
"98","Armenia",1986,59
"99","Armenia",1987,56.6
"100","Armenia",1988,81.9
"101","Armenia",1989,51.9
"102","Armenia",1990,49.6
"103","Armenia",1991,47.3
"104","Armenia",1992,45
"105","Armenia",1993,42.8
"106","Armenia",1994,40.6
"107","Armenia",1995,38.6
"108","Armenia",1996,36.7
"109","Armenia",1997,34.9
"110","Armenia",1998,33.2
"111","Armenia",1999,31.6
"112","Armenia",2000,30
"113","Armenia",2001,28.5
"114","Armenia",2002,27.1
"115","Armenia",2003,25.8
"116","Armenia",2004,24.5
"117","Armenia",2005,23.3
"118","Armenia",2006,22.1
"119","Armenia",2007,21
"120","Armenia",2008,20
"121","Armenia",2009,19
"122","Armenia",2010,18
"123","Armenia",2011,17.1
"124","Armenia",2012,16.3
"125","Armenia",2013,15.5
"126","Armenia",2014,14.7
"127","Armenia",2015,14
"128","Armenia",2016,13.3
"129","Australia",1985,11.3
"130","Australia",1986,11
"131","Australia",1987,10.6
"132","Australia",1988,10.2
"133","Australia",1989,9.7
"134","Australia",1990,9.2
"135","Australia",1991,8.7
"136","Australia",1992,8.2
"137","Australia",1993,7.7
"138","Australia",1994,7.3
"139","Australia",1995,7
"140","Australia",1996,6.8
"141","Australia",1997,6.6
"142","Australia",1998,6.4
"143","Australia",1999,6.3
"144","Australia",2000,6.2
"145","Australia",2001,6.1
"146","Australia",2002,6
"147","Australia",2003,5.9
"148","Australia",2004,5.8
"149","Australia",2005,5.7
"150","Australia",2006,5.6
"151","Australia",2007,5.4
"152","Australia",2008,5.2
"153","Australia",2009,5
"154","Australia",2010,4.8
"155","Australia",2011,4.6
"156","Australia",2012,4.3
"157","Australia",2013,4.2
"158","Australia",2014,4
"159","Australia",2015,3.8
"160","Australia",2016,3.7
"161","Austria",1985,12.6
"162","Austria",1986,11.9
"163","Austria",1987,11.2
"164","Austria",1988,10.5
"165","Austria",1989,10
"166","Austria",1990,9.5
"167","Austria",1991,9
"168","Austria",1992,8.5
"169","Austria",1993,7.9
"170","Austria",1994,7.4
"171","Austria",1995,6.8
"172","Austria",1996,6.4
"173","Austria",1997,6
"174","Austria",1998,5.8
"175","Austria",1999,5.6
"176","Austria",2000,5.5
"177","Austria",2001,5.4
"178","Austria",2002,5.3
"179","Austria",2003,5.2
"180","Austria",2004,5.1
"181","Austria",2005,4.9
"182","Austria",2006,4.8
"183","Austria",2007,4.6
"184","Austria",2008,4.5
"185","Austria",2009,4.4
"186","Austria",2010,4.3
"187","Austria",2011,4.2
"188","Austria",2012,4.1
"189","Austria",2013,3.9
"190","Austria",2014,3.8
"191","Austria",2015,3.7
"192","Austria",2016,3.6
"193","Azerbaijan",1985,101.8
"194","Azerbaijan",1986,99.7
"195","Azerbaijan",1987,98
"196","Azerbaijan",1988,96.6
"197","Azerbaijan",1989,95.6
"198","Azerbaijan",1990,95.3
"199","Azerbaijan",1991,95.5
"200","Azerbaijan",1992,95.9
"201","Azerbaijan",1993,96.1
"202","Azerbaijan",1994,95.7
"203","Azerbaijan",1995,94.3
"204","Azerbaijan",1996,92.1
"205","Azerbaijan",1997,88.9
"206","Azerbaijan",1998,84.6
"207","Azerbaijan",1999,79.8
"208","Azerbaijan",2000,74.7
"209","Azerbaijan",2001,69.5
"210","Azerbaijan",2002,64.5
"211","Azerbaijan",2003,59.9
"212","Azerbaijan",2004,55.7
"213","Azerbaijan",2005,52
"214","Azerbaijan",2006,48.7
"215","Azerbaijan",2007,45.6
"216","Azerbaijan",2008,42.7
"217","Azerbaijan",2009,40
"218","Azerbaijan",2010,37.4
"219","Azerbaijan",2011,35
"220","Azerbaijan",2012,32.6
"221","Azerbaijan",2013,30.4
