"","Country","Year","male_life_expectancy"
"1","Albania",1985,68.92
"2","Albania",1986,69.04
"3","Albania",1987,69.12
"4","Albania",1988,69.145
"5","Albania",1989,69.122
"6","Albania",1990,69.07
"7","Albania",1991,69.017
"8","Albania",1992,68.997
"9","Albania",1993,69.037
"10","Albania",1994,69.15
"11","Albania",1995,69.347
"12","Albania",1996,69.631
"13","Albania",1997,69.982
"14","Albania",1998,70.376
"15","Albania",1999,70.797
"16","Albania",2000,71.215
"17","Albania",2001,71.6
"18","Albania",2002,71.937
"19","Albania",2003,72.223
"20","Albania",2004,72.461
"21","Albania",2005,72.678
"22","Albania",2006,72.911
"23","Albania",2007,73.192
"24","Albania",2008,73.539
"25","Albania",2009,73.95
"26","Albania",2010,74.404
"27","Albania",2011,74.867
"28","Albania",2012,75.299
"29","Albania",2013,75.671
"30","Albania",2014,75.974
"31","Albania",2015,76.209
"32","Albania",2016,76.389
"33","Antigua and Barbuda",1985,67.409
"34","Antigua and Barbuda",1986,67.665
"35","Antigua and Barbuda",1987,67.918
"36","Antigua and Barbuda",1988,68.169
"37","Antigua and Barbuda",1989,68.416
"38","Antigua and Barbuda",1990,68.661
"39","Antigua and Barbuda",1991,68.904
"40","Antigua and Barbuda",1992,69.143
"41","Antigua and Barbuda",1993,69.38
"42","Antigua and Barbuda",1994,69.613
"43","Antigua and Barbuda",1995,69.845
"44","Antigua and Barbuda",1996,70.073
"45","Antigua and Barbuda",1997,70.3
"46","Antigua and Barbuda",1998,70.525
"47","Antigua and Barbuda",1999,70.747
"48","Antigua and Barbuda",2000,70.969
"49","Antigua and Barbuda",2001,71.191
"50","Antigua and Barbuda",2002,71.413
"51","Antigua and Barbuda",2003,71.633
"52","Antigua and Barbuda",2004,71.852
"53","Antigua and Barbuda",2005,72.063
"54","Antigua and Barbuda",2006,72.265
"55","Antigua and Barbuda",2007,72.454
"56","Antigua and Barbuda",2008,72.63
"57","Antigua and Barbuda",2009,72.793
"58","Antigua and Barbuda",2010,72.945
"59","Antigua and Barbuda",2011,73.091
"60","Antigua and Barbuda",2012,73.234
"61","Antigua and Barbuda",2013,73.38
"62","Antigua and Barbuda",2014,73.528
"63","Antigua and Barbuda",2015,73.681
"64","Antigua and Barbuda",2016,73.838
"65","Argentina",1985,67.227
"66","Argentina",1986,67.382
"67","Argentina",1987,67.538
