"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"AUT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BEL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CAN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CZE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DNK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"FIN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"FRA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"DEU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GRC","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"HUN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ISL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"IRL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ITA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"JPN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"KOR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"LUX","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"MEX","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"NLD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NZL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NOR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"POL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"PRT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"SVK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ESP","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SWE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CHE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"TUR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"GBR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"USA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"ALB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"DZA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ARG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ARM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"AZE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BGD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"BLR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BIH","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"BRA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"BGR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"KHM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CHL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"CHN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"COL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"HRV","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"CYP","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"EGY","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"EST","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"ETH","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GEO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GHA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"HTI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"HKG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"IND","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"IDN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"IRN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"ISR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"KAZ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"LVA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"LTU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MKD","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MYS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"MDA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MOZ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NGA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"PAK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"PRY","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"PER","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"PHL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"ROU","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
