"","Country","Year","population_growth"
"1","Albania",1985,2.055994609
"2","Albania",1986,1.933220811
"3","Albania",1987,1.997039956
"4","Albania",1988,1.886710529
"5","Albania",1989,2.687861989
"6","Albania",1990,1.799085593
"7","Albania",1991,-0.602809679
"8","Albania",1992,-0.606434726
"9","Albania",1993,-0.610165793
"10","Albania",1994,-0.613880507
"11","Albania",1995,-0.617703658
"12","Albania",1996,-0.621511399
"13","Albania",1997,-0.625430097
"14","Albania",1998,-0.629334393
"15","Albania",1999,-0.633352274
"16","Albania",2000,-0.637356834
"17","Albania",2001,-0.938470428
"18","Albania",2002,-0.299876697
"19","Albania",2003,-0.374149169
"20","Albania",2004,-0.417931378
"21","Albania",2005,-0.511790116
"22","Albania",2006,-0.630911245
"23","Albania",2007,-0.755718755
"24","Albania",2008,-0.767342959
"25","Albania",2009,-0.673894046
"26","Albania",2010,-0.496461963
"27","Albania",2011,-0.269017332
"28","Albania",2012,-0.16515104
"29","Albania",2013,-0.183211385
"30","Albania",2014,-0.207047
"31","Albania",2015,-0.291205787
"32","Albania",2016,-0.159880412
"33","Antigua and Barbuda",1985,-1.342302033
"34","Antigua and Barbuda",1986,-1.404154652
"35","Antigua and Barbuda",1987,-1.410885874
"36","Antigua and Barbuda",1988,-1.166777504
"37","Antigua and Barbuda",1989,-0.644801576
"38","Antigua and Barbuda",1990,0.103508031
"39","Antigua and Barbuda",1991,0.911926202
"40","Antigua and Barbuda",1992,1.650324045
"41","Antigua and Barbuda",1993,2.18416517
"42","Antigua and Barbuda",1994,2.514657024
"43","Antigua and Barbuda",1995,2.614743907
"44","Antigua and Barbuda",1996,2.692344039
"45","Antigua and Barbuda",1997,2.753047696
"46","Antigua and Barbuda",1998,2.680533611
"47","Antigua and Barbuda",1999,2.449374686
"48","Antigua and Barbuda",2000,2.119596929
"49","Antigua and Barbuda",2001,1.746950577
"50","Antigua and Barbuda",2002,1.411392597
"51","Antigua and Barbuda",2003,1.18347304
"52","Antigua and Barbuda",2004,1.098273643
"53","Antigua and Barbuda",2005,1.122202076
"54","Antigua and Barbuda",2006,1.167350102
"55","Antigua and Barbuda",2007,1.188904483
"56","Antigua and Barbuda",2008,1.1933199
"57","Antigua and Barbuda",2009,1.185659303
"58","Antigua and Barbuda",2010,1.147471712
"59","Antigua and Barbuda",2011,1.11147273
"60","Antigua and Barbuda",2012,1.09925469
"61","Antigua and Barbuda",2013,1.076058296
"62","Antigua and Barbuda",2014,1.068648038
"63","Antigua and Barbuda",2015,1.05434633
"64","Antigua and Barbuda",2016,1.03542237
"65","Argentina",1985,1.551619351
"66","Argentina",1986,1.529797634
"67","Argentina",1987,1.509198642
"68","Argentina",1988,1.486178218
"69","Argentina",1989,1.461314598
"70","Argentina",1990,1.434566316
"71","Argentina",1991,1.408255222
"72","Argentina",1992,1.379945379
"73","Argentina",1993,1.345135953
"74","Argentina",1994,1.302491994
"75","Argentina",1995,1.255747946
"76","Argentina",1996,1.206777525
"77","Argentina",1997,1.162864394
