"","Country","Year","rural_population_percent"
"1","Albania",1987,0.732674663169965
"2","Albania",1988,0.728796900192852
"3","Albania",1989,0.735179717034813
"4","Albania",1992,0.721894872667893
"5","Albania",1993,0.71506582300936
"6","Albania",1994,0.693965993764787
"7","Albania",1995,0.670725469888589
"8","Albania",1996,0.652171399166247
"9","Albania",1997,0.634086711420847
"10","Albania",1998,0.616827225801698
"11","Albania",1999,0.603665180161343
"12","Albania",2000,0.643577354512265
"13","Albania",2001,0.629285012592209
"14","Albania",2002,0.611524598771126
"15","Albania",2003,0.592408392611632
"16","Albania",2004,0.5722141139871
"17","Albania",2005,0.576357883262477
"18","Albania",2006,0.56171279742261
"19","Albania",2007,0.547808666429632
"20","Albania",2008,0.534599174482964
"21","Albania",2009,0.521630265983328
"22","Albania",2010,0.509316066440889
"23","Antigua and Barbuda",1985,0.724634438673592
"24","Antigua and Barbuda",1986,0.72882766724878
"25","Antigua and Barbuda",1987,0.729730178221765
"26","Antigua and Barbuda",1988,0.728800470074708
"27","Antigua and Barbuda",1989,0.727189858032715
"28","Antigua and Barbuda",1990,0.725844779641021
"29","Antigua and Barbuda",1991,0.719215166818445
"30","Antigua and Barbuda",1992,0.71942923779599
"31","Antigua and Barbuda",1993,0.721192115736939
"32","Antigua and Barbuda",1994,0.724037205011915
"33","Antigua and Barbuda",1995,0.727287686807187
"34","Antigua and Barbuda",1998,0.742336554703292
"35","Antigua and Barbuda",1999,0.748229111643845
"36","Antigua and Barbuda",2000,0.753129687894115
"37","Antigua and Barbuda",2001,0.758974090825904
"38","Antigua and Barbuda",2002,0.7660750879635
"39","Antigua and Barbuda",2003,0.771685376117164
"40","Antigua and Barbuda",2004,0.776739460381571
"41","Antigua and Barbuda",2005,0.781772057913625
"42","Antigua and Barbuda",2006,0.786456681386781
"43","Antigua and Barbuda",2007,0.791416061203869
"44","Antigua and Barbuda",2008,0.796615800840117
"45","Antigua and Barbuda",2009,0.801864037655434
"46","Antigua and Barbuda",2012,0.812522546897547
"47","Antigua and Barbuda",2013,0.813388282468256
"48","Antigua and Barbuda",2014,0.81444989982166
"49","Antigua and Barbuda",2015,0.815562085101752
"50","Argentina",1985,0.167834461594546
"51","Argentina",1986,0.164851192727636
"52","Argentina",1987,0.160687871450543
"53","Argentina",1988,0.154630805615699
"54","Argentina",1989,0.150481598826507
"55","Argentina",1990,0.146440074578133
"56","Argentina",1991,0.141995505451997
"57","Argentina",1992,0.139547446878809
"58","Argentina",1993,0.137081613088947
"59","Argentina",1994,0.134604831433111
"60","Argentina",1995,0.132140150320616
"61","Argentina",1996,0.129661268327593
"62","Argentina",1997,0.126739674313385
"63","Argentina",1998,0.124366842648011
"64","Argentina",1999,0.122046592927904
"65","Argentina",2000,0.119804496781263
"66","Argentina",2001,0.117567587871046
"67","Argentina",2002,0.115515340430932
"68","Argentina",2003,0.113587059449476
"69","Argentina",2004,0.111682621814452
"70","Argentina",2005,0.109770637461211
"71","Argentina",2006,0.107931267469396
"72","Argentina",2007,0.106035487388262
"73","Argentina",2008,0.104106872847827
"74","Argentina",2009,0.102212627040604
"75","Argentina",2010,0.100387256474488
"76","Argentina",2011,0.0987297629876467
"77","Argentina",2012,0.0972319465235987
"78","Argentina",2013,0.0957990923419122
"79","Argentina",2014,0.0943640781538992
"80","Argentina",2015,0.0929280062469104
"81","Armenia",1990,0.386331941437832
"82","Armenia",1991,0.356405423918093
"83","Armenia",1992,0.344645224817836
