"","Country","Year","male_population","male_suicide_rate","female_population","female_suicide_rate","population","total_suicide_rate"
"1","Albania",1987,1392701,3.51834313323535e-05,1316901,1.97433216316185e-05,2709601,2.73102940248398e-05
"2","Albania",1988,1420701,2.9562870723678e-05,1343601,1.71181771969506e-05,2764301,2.31523267545756e-05
"3","Albania",1989,1439801,3.75051830079296e-05,1363301,1.17362196609553e-05,2803101,2.46155953709838e-05
"4","Albania",1992,1399301,2.42978458530366e-05,1423201,1.05396215994789e-05,2822501,1.70061941519241e-05
"5","Albania",1993,1379901,3.40604144790097e-05,1427401,1.96160714473368e-05,2807301,2.63598381505938e-05
"6","Albania",1994,1404201,2.56373553358814e-05,1445101,1.10718904768594e-05,2849301,1.78991268384772e-05
"7","Albania",1995,1429601,3.84722730328252e-05,1473801,2.37481179616515e-05,2903401,3.06537057747104e-05
"8","Albania",1996,1444201,3.53136440149259e-05,1496001,2.67379500414772e-05,2940201,3.06101521630664e-05
"9","Albania",1997,1448401,8.21595676887823e-05,1528901,3.46654230718667e-05,2977301,5.74345690946263e-05
"10","Albania",1998,1475401,6.57448381829753e-05,1537301,3.83789511618089e-05,3012701,5.14488493879744e-05
"11","Albania",1999,1486401,6.18944685855297e-05,1543301,3.17501252186061e-05,3029701,4.62091803778657e-05
"12","Albania",2000,1423901,2.73895446382859e-05,1372401,1.2387050140593e-05,2796301,1.96688410868501e-05
"13","Albania",2001,1390620,6.11238152766392e-05,1408731,2.55549143165019e-05,2799350,4.28670941468555e-05
"14","Albania",2002,1400103,6.57094513760773e-05,1418738,3.03086263989546e-05,2818840,4.75372848405727e-05
"15","Albania",2003,1412256,5.23984320123264e-05,1431675,3.6321092426703e-05,2843930,4.39532618594691e-05
"16","Albania",2004,1427383,6.30524533359302e-05,1447610,4.00660398864335e-05,2874992,5.1130577058997e-05
"17","Albania",2005,1383393,7.22860387467625e-07,1399929,7.14321940612703e-07,2783321,3.59283029158333e-07
"18","Albania",2006,1382668,7.23239418284071e-07,1397510,7.15558385986505e-07,2780177,3.59689329132642e-07
"19","Albania",2007,1378493,5.6583529985281e-05,1391853,3.44864005035014e-05,2770345,4.51207340601983e-05
"20","Albania",2008,1372387,7.28657441377687e-05,1384674,4.47758822654285e-05,2757060,5.83955372752135e-05
"21","Albania",2009,1367677,7.31166788649659e-07,1378060,7.25657808803681e-07,2745736,3.64201073956127e-07
