"","Country","Year","country.year","gdp_for_year....","gdp_per_capita....","male_suicide_rate","male_population","female_suicide_rate","female_population","population","total_suicide_rate"
"1","Albania",1987,"Albania1987","2,156,624,900",796,3.51834313323535e-05,1392701,1.97433216316185e-05,1316901,2709601,2.73102940248398e-05
"2","Albania",1988,"Albania1988","2,126,000,000",769,2.9562870723678e-05,1420701,1.71181771969506e-05,1343601,2764301,2.31523267545756e-05
"3","Albania",1989,"Albania1989","2,335,124,988",833,3.75051830079296e-05,1439801,1.17362196609553e-05,1363301,2803101,2.46155953709838e-05
"4","Albania",1992,"Albania1992","709,452,584",251,2.42978458530366e-05,1399301,1.05396215994789e-05,1423201,2822501,1.70061941519241e-05
"5","Albania",1993,"Albania1993","1,228,071,038",437,3.40604144790097e-05,1379901,1.96160714473368e-05,1427401,2807301,2.63598381505938e-05
"6","Albania",1994,"Albania1994","1,985,673,798",697,2.56373553358814e-05,1404201,1.10718904768594e-05,1445101,2849301,1.78991268384772e-05
"7","Albania",1995,"Albania1995","2,424,499,009",835,3.84722730328252e-05,1429601,2.37481179616515e-05,1473801,2903401,3.06537057747104e-05
"8","Albania",1996,"Albania1996","3,314,898,292",1127,3.53136440149259e-05,1444201,2.67379500414772e-05,1496001,2940201,3.06101521630664e-05
"9","Albania",1997,"Albania1997","2,359,903,108",793,8.21595676887823e-05,1448401,3.46654230718667e-05,1528901,2977301,5.74345690946263e-05
"10","Albania",1998,"Albania1998","2,707,123,772",899,6.57448381829753e-05,1475401,3.83789511618089e-05,1537301,3012701,5.14488493879744e-05
"11","Albania",1999,"Albania1999","3,414,760,915",1127,6.18944685855297e-05,1486401,3.17501252186061e-05,1543301,3029701,4.62091803778657e-05
"12","Albania",2000,"Albania2000","3,632,043,908",1299,2.73895446382859e-05,1423901,1.2387050140593e-05,1372401,2796301,1.96688410868501e-05
"13","Albania",2001,"Albania2001","4,060,758,804",1451,6.11238152766392e-05,1390620,2.55549143165019e-05,1408731,2799350,4.28670941468555e-05
"14","Albania",2002,"Albania2002","4,435,078,648",1573,6.57094513760773e-05,1400103,3.03086263989546e-05,1418738,2818840,4.75372848405727e-05
"15","Albania",2003,"Albania2003","5,746,945,913",2021,5.23984320123264e-05,1412256,3.6321092426703e-05,1431675,2843930,4.39532618594691e-05
"16","Albania",2004,"Albania2004","7,314,865,176",2544,6.30524533359302e-05,1427383,4.00660398864335e-05,1447610,2874992,5.1130577058997e-05
"17","Albania",2005,"Albania2005","8,158,548,717",2931,7.22860387467625e-07,1383393,7.14321940612703e-07,1399929,2783321,3.59283029158333e-07
"18","Albania",2006,"Albania2006","8,992,642,349",3235,7.23239418284071e-07,1382668,7.15558385986505e-07,1397510,2780177,3.59689329132642e-07
"19","Albania",2007,"Albania2007","10,701,011,897",3863,5.6583529985281e-05,1378493,3.44864005035014e-05,1391853,2770345,4.51207340601983e-05
"20","Albania",2008,"Albania2008","12,881,352,688",4672,7.28657441377687e-05,1372387,4.47758822654285e-05,1384674,2757060,5.83955372752135e-05
"21","Albania",2009,"Albania2009","12,044,212,904",4387,7.31166788649659e-07,1367677,7.25657808803681e-07,1378060,2745736,3.64201073956127e-07
"22","Albania",2010,"Albania2010","11,926,953,259",4359,4.5441286193618e-05,1364398,2.62461642324564e-05,1371629,2736026,3.54528794682507e-05
"23","Antigua and Barbuda",1985,"Antigua and Barbuda1985","240,923,926",3850,3.30218274279299e-05,30283,3.09664633202242e-05,32293,62575,1.59808230123851e-05
"24","Antigua and Barbuda",1986,"Antigua and Barbuda1986","290,440,148",4740,3.37746554985139e-05,29608,3.15816068721577e-05,31664,61271,1.6320934863149e-05
"25","Antigua and Barbuda",1987,"Antigua and Barbuda1987","337,174,852",5595,3.43914434088799e-05,29077,3.206567049317e-05,31186,60262,1.6594205303508e-05
"26","Antigua and Barbuda",1988,"Antigua and Barbuda1988","398,637,741",6693,3.48262171762903e-05,28714,3.24128095423311e-05,30852,59565,1.6788382439352e-05
"27","Antigua and Barbuda",1989,"Antigua and Barbuda1989","438,794,778",7407,3.50299506077696e-05,28547,3.25807187306552e-05,30693,59239,1.68807711136245e-05
"28","Antigua and Barbuda",1990,"Antigua and Barbuda1990","459,469,074",7744,6.99154023631406e-05,28606,3.25414904002603e-05,30730,59335,3.37069183449903e-05
"29","Antigua and Barbuda",1991,"Antigua and Barbuda1991","481,706,333",7976,3.4294728900168e-05,29159,3.20133175400967e-05,31237,60395,1.65576620581174e-05
"30","Antigua and Barbuda",1992,"Antigua and Barbuda1992","499,281,148",8087,3.34548860861129e-05,29891,3.13952028130102e-05,31852,61742,1.61964303067604e-05
"31","Antigua and Barbuda",1993,"Antigua and Barbuda1993","535,172,778",8453,6.50914534921565e-05,30726,3.0683317480286e-05,32591,63316,3.15875923937078e-05
"32","Antigua and Barbuda",1994,"Antigua and Barbuda1994","589,429,593",9062,3.16656111462951e-05,31580,2.98810733281539e-05,33466,65045,1.53739718656315e-05
"33","Antigua and Barbuda",1995,"Antigua and Barbuda1995","577,280,741",8636,3.08804002099867e-05,32383,2.90149426954882e-05,34465,66847,1.49595344592876e-05
"34","Antigua and Barbuda",1998,"Antigua and Barbuda1998","727,860,593",10078,2.92654375182909e-05,34170,2.62763749113172e-05,38057,72226,1.38454296236812e-05
"35","Antigua and Barbuda",1999,"Antigua and Barbuda1999","766,198,926",10378,2.88400530656976e-05,34674,2.55362614913177e-05,39160,73833,1.35440792057752e-05
"36","Antigua and Barbuda",2000,"Antigua and Barbuda2000","830,158,778",11021,8.51353652307168e-05,35238,2.49438762783737e-05,40090,75327,3.98263570831176e-05
"37","Antigua and Barbuda",2001,"Antigua and Barbuda2001","800,740,259",10468,8.37591088030823e-05,35817,2.45808957278403e-05,40682,76498,3.92167115480143e-05
"38","Antigua and Barbuda",2002,"Antigua and Barbuda2002","814,615,333",10499,2.74175417432073e-05,36473,2.43208405282487e-05,41117,77589,1.28884249055923e-05
"39","Antigua and Barbuda",2003,"Antigua and Barbuda2003","855,643,111",10878,5.37851284119941e-05,37185,2.41109101868596e-05,41475,78659,2.54262067913398e-05
"40","Antigua and Barbuda",2004,"Antigua and Barbuda2004","919,577,148",11535,7.91849231906245e-05,37886,2.39017161432191e-05,41838,79723,3.76302948960777e-05
"41","Antigua and Barbuda",2005,"Antigua and Barbuda2005","1,022,191,296",12649,2.59389914920108e-05,38552,2.36635982867555e-05,42259,80810,1.23747061007301e-05
"42","Antigua and Barbuda",2006,"Antigua and Barbuda2006","1,157,005,444",14114,2.55102040816327e-05,39200,2.33781414377557e-05,42775,81974,1.21989899236343e-05
