"","Country","Year","traffic_mortality"
"1","Albania",2000,15.4
"2","Albania",2001,15.842
"3","Albania",2002,15.724
"4","Albania",2003,15.606
"5","Albania",2004,15.488
"6","Albania",2005,15.9
"7","Albania",2006,15.252
"8","Albania",2007,15.134
"9","Albania",2008,15.016
"10","Albania",2009,14.898
"11","Albania",2010,15.4
"12","Albania",2011,14.662
"13","Albania",2012,14.544
"14","Albania",2013,14.426
"15","Albania",2014,14.308
"16","Albania",2015,13.6
"17","Antigua and Barbuda",2000,8.9
"18","Antigua and Barbuda",2001,7.012
"19","Antigua and Barbuda",2002,7.16399999999999
"20","Antigua and Barbuda",2003,7.31600000000003
"21","Antigua and Barbuda",2004,7.46800000000002
"22","Antigua and Barbuda",2005,5.9
"23","Antigua and Barbuda",2006,7.77199999999999
"24","Antigua and Barbuda",2007,7.92400000000004
"25","Antigua and Barbuda",2008,8.07600000000002
"26","Antigua and Barbuda",2009,8.22800000000001
"27","Antigua and Barbuda",2010,5.7
"28","Antigua and Barbuda",2011,8.53199999999998
"29","Antigua and Barbuda",2012,8.68400000000003
"30","Antigua and Barbuda",2013,8.83600000000001
"31","Antigua and Barbuda",2014,8.988
"32","Antigua and Barbuda",2015,11.5
"33","Argentina",2000,11.4
"34","Argentina",2001,11.164
"35","Argentina",2002,11.358
"36","Argentina",2003,11.552
"37","Argentina",2004,11.746
"38","Argentina",2005,11.3
"39","Argentina",2006,12.134
"40","Argentina",2007,12.328
"41","Argentina",2008,12.522
"42","Argentina",2009,12.716
"43","Argentina",2010,12.9
"44","Argentina",2011,13.104
"45","Argentina",2012,13.298
"46","Argentina",2013,13.492
"47","Argentina",2014,13.686
"48","Argentina",2015,14.1
"49","Armenia",2000,19.8
"50","Armenia",2001,18.702
"51","Armenia",2002,18.4440000000001
"52","Armenia",2003,18.186
"53","Armenia",2004,17.928
"54","Armenia",2005,16.6
"55","Armenia",2006,17.412
"56","Armenia",2007,17.154
"57","Armenia",2008,16.8960000000001
"58","Armenia",2009,16.638
"59","Armenia",2010,16
"60","Armenia",2011,16.1220000000001
"61","Armenia",2012,15.864
"62","Armenia",2013,15.606
"63","Armenia",2014,15.3480000000001
"64","Armenia",2015,15.7
"65","Australia",2000,9.5
"66","Australia",2001,9.16999999999996
"67","Australia",2002,8.88999999999999
"68","Australia",2003,8.61000000000001
"69","Australia",2004,8.33000000000004
"70","Australia",2005,8.1
