"","Country","Year","unemployment_rate"
"1","Albania",1991,22.3239994
"2","Albania",1992,22.64699936
"3","Albania",1993,24.82600021
"4","Albania",1994,24.58300018
"5","Albania",1995,23.86100006
"6","Albania",1996,23.39800072
"7","Albania",1997,23.19499969
"8","Albania",1998,23.03300095
"9","Albania",1999,23.29000092
"10","Albania",2000,22.72999954
"11","Albania",2001,22.68000031
"12","Albania",2002,21.48800087
"13","Albania",2003,20.15299988
"14","Albania",2004,18.81800079
"15","Albania",2005,17.46299934
"16","Albania",2006,16.04000092
"17","Albania",2007,13.5
"18","Albania",2008,13.05000019
"19","Albania",2009,13.76000023
"20","Albania",2010,14.19999981
"21","Albania",2011,13.97999954
"22","Albania",2012,13.43999958
"23","Albania",2013,15.64000034
"24","Albania",2014,17.48999977
"25","Albania",2015,17.07999992
"26","Albania",2016,15.22000027
"27","Argentina",1991,5.440000057
"28","Argentina",1992,6.360000134
"29","Argentina",1993,10.10000038
"30","Argentina",1994,11.76000023
"31","Argentina",1995,18.79999924
"32","Argentina",1996,17.11000061
"33","Argentina",1997,14.81999969
"34","Argentina",1998,12.64999962
"35","Argentina",1999,14.05000019
"36","Argentina",2000,15
"37","Argentina",2001,17.31999969
"38","Argentina",2002,19.59000015
"39","Argentina",2003,15.35999966
"40","Argentina",2004,13.52000046
"41","Argentina",2005,11.51000023
"42","Argentina",2006,10.07999992
"43","Argentina",2007,8.470000267
"44","Argentina",2008,7.840000153
"45","Argentina",2009,8.649999619
"46","Argentina",2010,7.710000038
"47","Argentina",2011,7.179999828
"48","Argentina",2012,7.21999979
"49","Argentina",2013,7.099999905
"50","Argentina",2014,7.269999981
"51","Argentina",2015,7.151000023
"52","Argentina",2016,8.696000099
"53","Armenia",1991,1.978999972
"54","Armenia",1992,1.799999952
"55","Armenia",1993,5.300000191
"56","Armenia",1994,6.599999905
"57","Armenia",1995,6.699999809
"58","Armenia",1996,9.300000191
"59","Armenia",1997,10.80000019
"60","Armenia",1998,9.399999619
"61","Armenia",1999,11.19999981
"62","Armenia",2000,11.94299984
"63","Armenia",2001,12.73900032
"64","Armenia",2002,13.72599983
"65","Armenia",2003,14.52900028
"66","Armenia",2004,15.32299995
"67","Armenia",2005,16.06599998
"68","Armenia",2006,16.82799911
"69","Armenia",2007,17.51799965
"70","Armenia",2008,17.98500061
"71","Armenia",2009,18.73999977
"72","Armenia",2010,19.01000023
"73","Armenia",2011,18.44000053
"74","Armenia",2012,17.30999947
"75","Armenia",2013,16.18000031
"76","Armenia",2014,17.5
"77","Armenia",2015,18.26000023
"78","Armenia",2016,18.04000092
"79","Australia",1991,9.579999924
"80","Australia",1992,10.72999954
"81","Australia",1993,10.86999989
