"","Country","Year","urban_population_percent"
"1","Albania",1987,1.3145477876632e-05
"2","Albania",1988,1.29826672276282e-05
"3","Albania",1989,1.28992854699135e-05
"4","Albania",1992,1.31971609576046e-05
"5","Albania",1993,1.34645340845175e-05
"6","Albania",1994,1.34608453090776e-05
"7","Albania",1995,1.34018690494355e-05
"8","Albania",1996,1.34252726259191e-05
"9","Albania",1997,1.3446742536277e-05
"10","Albania",1998,1.34766111871042e-05
"11","Albania",1999,1.35884696212597e-05
"12","Albania",2000,1.49272199237493e-05
"13","Albania",2001,1.51588761676818e-05
"14","Albania",2002,1.54322345361922e-05
"15","Albania",2003,1.56730299268969e-05
"16","Albania",2004,1.58786528797298e-05
"17","Albania",2005,1.67896552355981e-05
"18","Albania",2006,1.71985452724773e-05
"19","Albania",2007,1.76519530960945e-05
"20","Albania",2008,1.8131995676554e-05
"21","Albania",2009,1.86019340533831e-05
"22","Albania",2010,1.90652428010553e-05
"23","Antigua and Barbuda",1985,0.00055966440271674
"24","Antigua and Barbuda",1986,0.000572897455566255
"25","Antigua and Barbuda",1987,0.000583833925193323
"26","Antigua and Barbuda",1988,0.000592025518341308
"27","Antigua and Barbuda",1989,0.000596650855011057
"28","Antigua and Barbuda",1990,0.000597050644644813
"29","Antigua and Barbuda",1991,0.000587217484891133
"30","Antigua and Barbuda",1992,0.000568251757312688
"31","Antigua and Barbuda",1993,0.000548186872196601
"32","Antigua and Barbuda",1994,0.000527849950034592
"33","Antigua and Barbuda",1995,0.000508040749771867
"34","Antigua and Barbuda",1998,0.000454891590286047
"35","Antigua and Barbuda",1999,0.000440047133395636
"36","Antigua and Barbuda",2000,0.000426500458003106
"37","Antigua and Barbuda",2001,0.000414912808177992
"38","Antigua and Barbuda",2002,0.000400804237714109
"39","Antigua and Barbuda",2003,0.000387291981845688
"40","Antigua and Barbuda",2004,0.000374258369604756
"41","Antigua and Barbuda",2005,0.000361564162851132
"42","Antigua and Barbuda",2006,0.000348964305755483
"43","Antigua and Barbuda",2007,0.000336837800125102
"44","Antigua and Barbuda",2008,0.000325189263592567
"45","Antigua and Barbuda",2009,0.000314006041730089
"46","Antigua and Barbuda",2012,0.000287766053391053
"47","Antigua and Barbuda",2013,0.000282356872354645
